dataset,threshold,count,precision,recall,f1
large_products80cc20rnd050un_NaiveBayes_2,1.0,3,0.6666666666666666,1.0,0.8
small_products80cc20rnd100un_NaiveBayes_2,0.01,329,0.0851063829787234,1.0,0.1568627450980392
large_products80cc20rnd050un_LinearSVC_1,0.715,207,0.5507246376811594,1.0,0.7102803738317757
large_products50cc50rnd000un_LinearSVC_2,0.9500000000000001,19,0.8947368421052632,1.0,0.9444444444444444
large_products50cc50rnd000un_DecisionTree_1,0.975,26,0.9230769230769231,1.0,0.96
large_products80cc20rnd050un_RandomForest_3,0.525,8,0.5,1.0,0.6666666666666666
medium_products50cc50rnd100un_RandomForest_2,0.55,2,0.5,1.0,0.6666666666666666
medium_products80cc20rnd100un_LogisticRegression_3,0.995,27,0.3333333333333333,1.0,0.5
small_products80cc20rnd100un_LogisticRegression_3,0.72,182,0.2692307692307692,1.0,0.42424242424242425
large_products80cc20rnd050un_LogisticRegression_3,0.965,173,0.5838150289017341,1.0,0.7372262773722628
small_products50cc50rnd100un_NaiveBayes_2,0.005,339,0.1415929203539823,1.0,0.24806201550387597
medium_products80cc20rnd100un_LinearSVC_3,0.71,66,0.3181818181818182,1.0,0.4827586206896552
large_products20cc80rnd000un_NaiveBayes_1,1.0,18,0.6666666666666666,1.0,0.8
small_products50cc50rnd100un_DecisionTree_2,0.0,4479,0.08528689439607055,1.0,0.1571693067270109
small_products50cc50rnd050un_XGBoost_1,0.73,123,0.3008130081300813,1.0,0.4625
medium_products50cc50rnd050un_LogisticRegression_3,0.98,75,0.6266666666666667,1.0,0.7704918032786885
small_products50cc50rnd000un_LinearSVC_3,0.9,10,0.6,1.0,0.75
medium_products50cc50rnd000un_LogisticRegression_1,0.99,43,0.7906976744186046,1.0,0.8831168831168831
small_products20cc80rnd000un_NaiveBayes_3,0.06,143,0.3986013986013986,1.0,0.57
large_products20cc80rnd000un_LogisticRegression_3,0.995,142,0.8028169014084507,1.0,0.890625
large_products20cc80rnd050un_XGBoost_1,0.85,5,1.0,1.0,1.0
large_products20cc80rnd050un_DecisionTree_2,0.995,12,0.8333333333333334,1.0,0.9090909090909091
small_products50cc50rnd100un_NaiveBayes_3,0.005,339,0.1415929203539823,1.0,0.24806201550387597
large_products20cc80rnd050un_NaiveBayes_1,0.995,219,0.5068493150684932,1.0,0.6727272727272727
medium_products20cc80rnd050un_NaiveBayes_1,0.23,304,0.41118421052631576,1.0,0.5827505827505828
small_products80cc20rnd000un_XGBoost_1,0.8300000000000001,14,0.5,1.0,0.6666666666666666
small_products50cc50rnd000un_LinearSVC_1,0.9,10,0.6,1.0,0.75
small_products20cc80rnd000un_LinearSVC_2,0.925,1,1.0,1.0,1.0
large_products80cc20rnd050un_NaiveBayes_3,1.0,3,0.6666666666666666,1.0,0.8
large_products20cc80rnd100un_RandomForest_2,0.505,223,0.2645739910313901,1.0,0.41843971631205673
medium_products20cc80rnd100un_XGBoost_1,0.9500000000000001,2,1.0,1.0,1.0
large_products80cc20rnd000un_LinearSVC_1,0.91,33,0.7878787878787878,1.0,0.8813559322033898
small_products50cc50rnd000un_RandomForest_1,0.665,1,1.0,1.0,1.0
small_products80cc20rnd000un_LinearSVC_1,0.96,1,1.0,1.0,1.0
small_products50cc50rnd100un_XGBoost_1,0.925,1,1.0,1.0,1.0
medium_products50cc50rnd100un_NaiveBayes_2,0.04,543,0.21915285451197053,1.0,0.3595166163141994
large_products20cc80rnd050un_LinearSVC_1,0.975,2,1.0,1.0,1.0
large_products50cc50rnd100un_DecisionTree_3,0.525,20,0.3,1.0,0.46153846153846156
large_products20cc80rnd050un_RandomForest_3,0.545,5,0.6,1.0,0.75
large_products20cc80rnd050un_LinearSVC_3,0.975,2,1.0,1.0,1.0
medium_products20cc80rnd050un_DecisionTree_1,0.91,32,0.34375,1.0,0.5116279069767442
large_products80cc20rnd000un_NaiveBayes_2,0.995,159,0.5283018867924528,1.0,0.691358024691358
large_products80cc20rnd000un_LogisticRegression_2,0.995,110,0.6636363636363637,1.0,0.7978142076502732
medium_products20cc80rnd050un_XGBoost_2,0.9450000000000001,4,1.0,1.0,1.0
small_products80cc20rnd000un_DecisionTree_1,0.905,36,0.19444444444444445,1.0,0.32558139534883723
medium_products20cc80rnd000un_LinearSVC_3,0.85,37,0.8108108108108109,1.0,0.8955223880597015
large_products50cc50rnd100un_LogisticRegression_2,0.995,63,0.4603174603174603,1.0,0.6304347826086957
small_products50cc50rnd050un_RandomForest_1,0.52,278,0.20863309352517986,1.0,0.34523809523809523
medium_products50cc50rnd050un_RandomForest_3,0.545,20,0.35,1.0,0.5185185185185185
small_products80cc20rnd100un_LinearSVC_2,0.75,45,0.26666666666666666,1.0,0.42105263157894735
medium_products80cc20rnd000un_DecisionTree_1,0.915,32,0.5,1.0,0.6666666666666666
small_products20cc80rnd000un_LinearSVC_3,0.925,1,1.0,1.0,1.0
small_products50cc50rnd100un_LinearSVC_2,0.895,22,0.5,1.0,0.6666666666666666
small_products50cc50rnd100un_DecisionTree_1,0.86,122,0.21311475409836064,1.0,0.35135135135135137
small_products80cc20rnd000un_NaiveBayes_3,0.01,285,0.19649122807017544,1.0,0.3284457478005865
large_products20cc80rnd050un_NaiveBayes_2,0.995,219,0.5068493150684932,1.0,0.6727272727272727
large_products80cc20rnd000un_XGBoost_2,0.835,3,1.0,1.0,1.0
small_products80cc20rnd000un_RandomForest_2,0.52,3,0.3333333333333333,1.0,0.5
large_products50cc50rnd000un_NaiveBayes_3,1.0,18,0.6666666666666666,1.0,0.8
medium_products50cc50rnd100un_NaiveBayes_1,0.04,543,0.21915285451197053,1.0,0.3595166163141994
small_products80cc20rnd050un_DecisionTree_3,0.905,58,0.27586206896551724,1.0,0.43243243243243246
large_products50cc50rnd000un_LogisticRegression_3,0.995,111,0.7837837837837838,1.0,0.8787878787878788
medium_products20cc80rnd050un_XGBoost_1,0.9400000000000001,3,1.0,1.0,1.0
medium_products20cc80rnd000un_NaiveBayes_2,0.485,226,0.4911504424778761,1.0,0.658753709198813
medium_products20cc80rnd100un_NaiveBayes_1,0.015,515,0.2796116504854369,1.0,0.4370257966616085
medium_products80cc20rnd100un_RandomForest_2,0.51,75,0.16,1.0,0.27586206896551724
large_products80cc20rnd050un_XGBoost_2,0.855,3,1.0,1.0,1.0
small_products50cc50rnd100un_LogisticRegression_3,0.995,34,0.4411764705882353,1.0,0.6122448979591837
medium_products80cc20rnd100un_NaiveBayes_3,0.005,771,0.17120622568093385,1.0,0.292358803986711
small_products50cc50rnd050un_RandomForest_2,0.515,41,0.21951219512195122,1.0,0.36
small_products50cc50rnd000un_RandomForest_2,0.53,1,1.0,1.0,1.0
medium_products50cc50rnd000un_LinearSVC_2,0.935,6,1.0,1.0,1.0
small_products80cc20rnd050un_LogisticRegression_2,0.98,55,0.45454545454545453,1.0,0.625
small_products20cc80rnd100un_LinearSVC_2,0.93,1,1.0,1.0,1.0
small_products80cc20rnd100un_LogisticRegression_2,0.72,182,0.2692307692307692,1.0,0.42424242424242425
large_products50cc50rnd000un_XGBoost_2,0.855,5,1.0,1.0,1.0
large_products80cc20rnd100un_XGBoost_3,0.8,19,0.42105263157894735,1.0,0.5925925925925926
medium_products80cc20rnd100un_DecisionTree_2,0.915,54,0.3333333333333333,1.0,0.5
small_products80cc20rnd050un_RandomForest_1,0.505,446,0.18834080717488788,1.0,0.3169811320754717
medium_products20cc80rnd000un_NaiveBayes_3,0.485,226,0.4911504424778761,1.0,0.658753709198813
large_products50cc50rnd100un_XGBoost_2,0.885,1,1.0,1.0,1.0
medium_products20cc80rnd100un_LogisticRegression_1,0.835,283,0.3745583038869258,1.0,0.5449871465295629
large_products50cc50rnd100un_RandomForest_3,0.52,3,0.3333333333333333,1.0,0.5
medium_products50cc50rnd050un_RandomForest_1,0.535,11,0.36363636363636365,1.0,0.5333333333333333
medium_products20cc80rnd050un_LogisticRegression_3,0.9550000000000001,183,0.6174863387978142,1.0,0.7635135135135135
medium_products50cc50rnd100un_LogisticRegression_1,0.995,36,0.5555555555555556,1.0,0.7142857142857143
medium_products80cc20rnd000un_DecisionTree_3,0.915,38,0.3157894736842105,1.0,0.48
large_products20cc80rnd050un_RandomForest_2,0.53,10,0.7,1.0,0.8235294117647058
large_products50cc50rnd000un_XGBoost_3,0.84,10,1.0,1.0,1.0
medium_products80cc20rnd050un_LogisticRegression_3,0.9500000000000001,158,0.5063291139240507,1.0,0.6722689075630253
large_products50cc50rnd050un_LogisticRegression_2,0.99,120,0.7083333333333334,1.0,0.8292682926829268
medium_products20cc80rnd000un_LinearSVC_2,0.85,37,0.8108108108108109,1.0,0.8955223880597015
small_products80cc20rnd050un_XGBoost_1,0.795,37,0.35135135135135137,1.0,0.52
large_products50cc50rnd100un_LinearSVC_1,0.97,4,0.75,1.0,0.8571428571428571
small_products50cc50rnd100un_LinearSVC_3,0.895,22,0.5,1.0,0.6666666666666666
medium_products20cc80rnd000un_RandomForest_1,0.605,2,1.0,1.0,1.0
large_products80cc20rnd000un_DecisionTree_1,0.975,24,0.7916666666666666,1.0,0.8837209302325582
medium_products80cc20rnd050un_LinearSVC_1,0.635,205,0.5073170731707317,1.0,0.6731391585760518
large_products50cc50rnd000un_XGBoost_1,0.8200000000000001,13,1.0,1.0,1.0
large_products50cc50rnd000un_LogisticRegression_1,0.995,111,0.7837837837837838,1.0,0.8787878787878788
large_products80cc20rnd050un_LinearSVC_2,0.715,207,0.5507246376811594,1.0,0.7102803738317757
large_products20cc80rnd000un_LogisticRegression_1,0.995,142,0.8028169014084507,1.0,0.890625
medium_products20cc80rnd000un_XGBoost_1,0.935,2,1.0,1.0,1.0
large_products20cc80rnd000un_RandomForest_2,0.545,3,0.6666666666666666,1.0,0.8
medium_products20cc80rnd050un_LinearSVC_2,0.86,22,0.6818181818181818,1.0,0.8108108108108109
medium_products20cc80rnd100un_LinearSVC_3,0.975,1,1.0,1.0,1.0
medium_products50cc50rnd050un_LinearSVC_1,0.8300000000000001,43,0.5813953488372093,1.0,0.7352941176470589
small_products20cc80rnd050un_LogisticRegression_3,0.86,246,0.47560975609756095,1.0,0.6446280991735537
medium_products80cc20rnd100un_DecisionTree_1,0.835,99,0.2222222222222222,1.0,0.36363636363636365
medium_products50cc50rnd100un_LinearSVC_1,0.98,2,1.0,1.0,1.0
small_products50cc50rnd000un_RandomForest_3,0.655,3,0.3333333333333333,1.0,0.5
medium_products50cc50rnd100un_LinearSVC_3,0.98,2,1.0,1.0,1.0
small_products50cc50rnd100un_LogisticRegression_1,0.995,34,0.4411764705882353,1.0,0.6122448979591837
large_products80cc20rnd100un_DecisionTree_3,0.635,197,0.19289340101522842,1.0,0.32340425531914896
medium_products50cc50rnd000un_NaiveBayes_3,0.01,543,0.3683241252302026,1.0,0.5383580080753702
medium_products50cc50rnd000un_LogisticRegression_3,0.99,43,0.7906976744186046,1.0,0.8831168831168831
large_products50cc50rnd050un_NaiveBayes_2,1.0,11,0.7272727272727273,1.0,0.8421052631578947
large_products50cc50rnd000un_LogisticRegression_2,0.995,111,0.7837837837837838,1.0,0.8787878787878788
small_products50cc50rnd050un_XGBoost_2,0.9450000000000001,5,0.4,1.0,0.5714285714285714
small_products50cc50rnd000un_LogisticRegression_1,0.995,45,0.5333333333333333,1.0,0.6956521739130435
large_products50cc50rnd100un_XGBoost_3,0.89,2,1.0,1.0,1.0
large_products20cc80rnd100un_NaiveBayes_2,0.74,418,0.3444976076555024,1.0,0.5124555160142349
small_products50cc50rnd000un_DecisionTree_3,0.845,130,0.2153846153846154,1.0,0.35443037974683544
large_products50cc50rnd000un_DecisionTree_2,0.98,24,0.9166666666666666,1.0,0.9565217391304348
medium_products50cc50rnd000un_RandomForest_3,0.55,4,1.0,1.0,1.0
large_products20cc80rnd000un_LinearSVC_1,0.98,2,1.0,1.0,1.0
medium_products50cc50rnd000un_NaiveBayes_2,0.01,543,0.3683241252302026,1.0,0.5383580080753702
medium_products20cc80rnd000un_RandomForest_2,0.595,2,1.0,1.0,1.0
small_products50cc50rnd050un_DecisionTree_2,0.0,4466,0.07948947604120019,1.0,0.1472723501348268
medium_products80cc20rnd050un_RandomForest_1,0.56,6,0.6666666666666666,1.0,0.8
medium_products20cc80rnd050un_LinearSVC_3,0.86,22,0.6818181818181818,1.0,0.8108108108108109
small_products20cc80rnd050un_LinearSVC_2,0.93,2,0.5,1.0,0.6666666666666666
medium_products50cc50rnd000un_LinearSVC_3,0.935,6,1.0,1.0,1.0
medium_products20cc80rnd050un_RandomForest_3,0.55,2,1.0,1.0,1.0
small_products20cc80rnd100un_LogisticRegression_2,0.91,202,0.3465346534653465,1.0,0.5147058823529411
large_products80cc20rnd050un_RandomForest_2,0.545,2,1.0,1.0,1.0
large_products20cc80rnd100un_LinearSVC_1,0.975,2,1.0,1.0,1.0
small_products50cc50rnd100un_XGBoost_3,0.935,1,1.0,1.0,1.0
large_products20cc80rnd050un_LinearSVC_2,0.975,2,1.0,1.0,1.0
medium_products50cc50rnd100un_RandomForest_3,0.545,21,0.3333333333333333,1.0,0.5
large_products20cc80rnd050un_DecisionTree_1,0.995,10,0.8,1.0,0.8888888888888888
large_products20cc80rnd050un_RandomForest_1,0.525,19,0.7894736842105263,1.0,0.8823529411764706
medium_products50cc50rnd100un_XGBoost_2,0.925,2,1.0,1.0,1.0
large_products20cc80rnd050un_XGBoost_2,0.835,8,0.75,1.0,0.8571428571428571
small_products50cc50rnd050un_LinearSVC_3,0.755,94,0.44680851063829785,1.0,0.6176470588235294
large_products20cc80rnd100un_DecisionTree_2,0.5700000000000001,12,0.5,1.0,0.6666666666666666
large_products50cc50rnd050un_DecisionTree_3,0.975,16,0.9375,1.0,0.967741935483871
large_products50cc50rnd000un_NaiveBayes_1,1.0,18,0.6666666666666666,1.0,0.8
medium_products50cc50rnd100un_RandomForest_1,0.535,4,0.5,1.0,0.6666666666666666
large_products20cc80rnd000un_XGBoost_3,0.8200000000000001,9,1.0,1.0,1.0
large_products50cc50rnd050un_LogisticRegression_1,0.99,120,0.7083333333333334,1.0,0.8292682926829268
medium_products80cc20rnd000un_NaiveBayes_3,0.065,407,0.2972972972972973,1.0,0.4583333333333333
large_products50cc50rnd050un_NaiveBayes_3,1.0,11,0.7272727272727273,1.0,0.8421052631578947
large_products80cc20rnd100un_LogisticRegression_2,0.97,90,0.32222222222222224,1.0,0.48739495798319327
medium_products50cc50rnd050un_LogisticRegression_1,0.98,75,0.6266666666666667,1.0,0.7704918032786885
small_products20cc80rnd000un_LogisticRegression_1,0.99,74,0.6486486486486487,1.0,0.7868852459016393
medium_products50cc50rnd050un_RandomForest_2,0.55,3,0.6666666666666666,1.0,0.8
large_products80cc20rnd050un_LinearSVC_3,0.715,207,0.5507246376811594,1.0,0.7102803738317757
medium_products20cc80rnd050un_DecisionTree_3,0.91,32,0.34375,1.0,0.5116279069767442
large_products80cc20rnd050un_XGBoost_1,0.86,1,1.0,1.0,1.0
large_products80cc20rnd100un_NaiveBayes_2,0.37,551,0.2014519056261343,1.0,0.33534743202416917
medium_products20cc80rnd100un_XGBoost_2,0.96,1,1.0,1.0,1.0
large_products80cc20rnd100un_XGBoost_1,0.78,20,0.4,1.0,0.5714285714285714
large_products50cc50rnd000un_RandomForest_2,0.545,1,1.0,1.0,1.0
medium_products50cc50rnd100un_LogisticRegression_2,0.995,36,0.5555555555555556,1.0,0.7142857142857143
large_products20cc80rnd100un_LogisticRegression_1,0.995,55,0.6545454545454545,1.0,0.7912087912087912
small_products80cc20rnd100un_XGBoost_2,0.935,1,1.0,1.0,1.0
small_products50cc50rnd050un_LinearSVC_1,0.755,94,0.44680851063829785,1.0,0.6176470588235294
medium_products20cc80rnd050un_RandomForest_2,0.61,2,1.0,1.0,1.0
medium_products20cc80rnd050un_NaiveBayes_2,0.23,304,0.41118421052631576,1.0,0.5827505827505828
large_products20cc80rnd000un_NaiveBayes_3,1.0,18,0.6666666666666666,1.0,0.8
medium_products80cc20rnd000un_RandomForest_1,0.5700000000000001,1,1.0,1.0,1.0
small_products50cc50rnd050un_DecisionTree_1,0.86,132,0.20454545454545456,1.0,0.33962264150943394
small_products50cc50rnd050un_RandomForest_3,0.52,315,0.20634920634920634,1.0,0.34210526315789475
small_products20cc80rnd050un_LogisticRegression_1,0.86,246,0.47560975609756095,1.0,0.6446280991735537
large_products80cc20rnd000un_DecisionTree_3,0.98,24,0.7916666666666666,1.0,0.8837209302325582
medium_products80cc20rnd050un_LinearSVC_2,0.635,205,0.5073170731707317,1.0,0.6731391585760518
small_products20cc80rnd000un_RandomForest_2,0.54,136,0.2867647058823529,1.0,0.44571428571428573
large_products80cc20rnd050un_LogisticRegression_2,0.965,173,0.5838150289017341,1.0,0.7372262773722628
