model,language,cc,size,un,f1_mean,f1_std,precision_mean,recall_mean,n_seeds,n_pairs,n_unmatched
ditto,de,20cc80rnd,large,000un,86.38603277207535,0.460059792387714,80.43794345139531,93.2841932841933,3,4454,24
ditto,de,20cc80rnd,large,050un,69.16608358526689,1.3989777777782493,53.850606359633424,96.68560606060606,3,4429,26
ditto,de,20cc80rnd,large,100un,57.072523054842556,1.2868233990631568,40.371435057758035,97.4074074074074,3,4449,10
ditto,de,20cc80rnd,medium,000un,83.78564997337668,1.5712066167538252,78.00393517662671,90.58149058149058,3,4454,24
ditto,de,20cc80rnd,medium,050un,66.72843021047997,4.1128937894265,51.98474840635805,93.56060606060606,3,4429,26
ditto,de,20cc80rnd,medium,100un,56.77178255548419,4.368359843914452,40.53676101729681,95.37037037037037,3,4449,10
ditto,de,20cc80rnd,small,000un,71.92695034756191,4.938143618965863,59.07350978077445,92.21949221949222,3,4454,24
ditto,de,20cc80rnd,small,050un,59.65480780846108,3.8306306804492323,43.52219942256926,95.07575757575758,3,4429,26
ditto,de,20cc80rnd,small,100un,50.85964830203263,2.766431192715175,34.84108262036771,94.35185185185185,3,4449,10
ditto,de,50cc50rnd,large,000un,80.98532968735442,1.6922973391408884,73.59856385194855,90.1098901098901,3,4427,43
ditto,de,50cc50rnd,large,050un,64.29247525359922,0.6675547433950618,49.70031423524398,91.04046242774568,3,4418,48
ditto,de,50cc50rnd,large,100un,52.2605596230998,1.6157786013419575,37.0218357313185,88.8888888888889,3,4458,21
ditto,de,50cc50rnd,medium,000un,75.19326839786899,1.4280021821264168,67.81584095498063,84.52380952380952,3,4427,43
ditto,de,50cc50rnd,medium,050un,61.666972220539776,1.4214550690922882,48.24747293979464,85.54913294797689,3,4418,48
ditto,de,50cc50rnd,medium,100un,53.19532547097224,1.0757333669308553,38.60429885915482,85.63685636856367,3,4458,21
ditto,de,50cc50rnd,small,000un,55.10549657998727,14.884883671186198,41.950282579557545,87.63736263736264,3,4427,43
ditto,de,50cc50rnd,small,050un,48.38308562017801,10.986459677061015,34.08948549435863,88.72832369942198,3,4418,48
ditto,de,50cc50rnd,small,100un,42.768582540238185,8.50677317513672,28.747491945318917,87.98554652213188,3,4458,21
ditto,de,80cc20rnd,large,000un,72.18482157907634,1.0157681479572156,64.66171097892035,81.77387914230019,3,4440,34
