model,language,cc,size,un,f1_mean,f1_std,precision_mean,recall_mean,n_seeds,n_pairs,n_unmatched
ditto,de,80cc20rnd,large,050un,62.76300534272918,0.9962677586278537,51.26060903344509,80.97876269621422,3,4437,33
ditto,de,80cc20rnd,large,100un,50.211999145636014,1.8978751854842473,36.87732406885993,78.83141762452108,3,4447,16
ditto,de,80cc20rnd,medium,000un,67.8839752575855,2.489366426096716,57.017364645716334,84.40545808966861,3,4440,34
ditto,de,80cc20rnd,medium,050un,58.81832285149273,2.622262801357685,45.425570202971336,83.93351800554017,3,4437,33
ditto,de,80cc20rnd,medium,100un,48.59425671972818,1.6602426474105123,34.68828718199446,81.99233716475095,3,4447,16
ditto,de,80cc20rnd,small,000un,55.45368533720455,1.3374884298794627,41.358825943761,84.30799220272904,3,4440,34
ditto,de,80cc20rnd,small,050un,48.04816693882973,1.025638324765406,33.95234240567122,82.17913204062789,3,4437,33
ditto,de,80cc20rnd,small,100un,43.00865862855725,1.5471724008274803,28.972525213695747,83.42911877394636,3,4447,16
ditto,en,20cc80rnd,large,000un,88.31472599223243,0.33847299828520944,83.4576762683565,93.77559377559378,3,4454,24
ditto,en,20cc80rnd,large,050un,71.02270168327422,1.8565881182590496,56.493044324302126,95.64393939393939,3,4429,26
ditto,en,20cc80rnd,large,100un,60.16108321262777,1.5082368899627314,43.51262945454752,97.5,3,4449,10
ditto,en,20cc80rnd,medium,000un,85.7743763075487,0.7491639008423293,80.13101674062624,92.3013923013923,3,4454,24
ditto,en,20cc80rnd,medium,050un,69.62122219214329,1.2401667123532398,54.66708012584244,95.92803030303031,3,4429,26
ditto,en,20cc80rnd,medium,100un,58.89428430102288,2.7193913500075606,42.49504363877933,96.11111111111113,3,4449,10
ditto,en,20cc80rnd,small,000un,78.62484019862823,0.2904605902301641,68.7115180999408,91.89189189189189,3,4454,24
ditto,en,20cc80rnd,small,050un,65.85875347625586,2.65991319941413,50.47712603817042,94.79166666666667,3,4429,26
ditto,en,20cc80rnd,small,100un,56.255605789058656,0.832109525004611,39.91844189641927,95.27777777777777,3,4449,10
ditto,en,50cc50rnd,large,000un,81.12013443013177,1.0020336264885485,72.65482286775932,91.84981684981686,3,4427,43
ditto,en,50cc50rnd,large,050un,64.31164608903129,0.28824775170223754,48.705607493909724,94.70134874759152,3,4418,48
ditto,en,50cc50rnd,large,100un,52.81814182120393,1.8211642415240161,36.81891003806884,93.5862691960253,3,4458,21
ditto,en,50cc50rnd,medium,000un,75.96084017152208,0.16310157826097468,65.04654994522782,91.30036630036629,3,4427,43
ditto,en,50cc50rnd,medium,050un,62.00425617410047,1.8345497556208,46.37387234183769,93.64161849710983,3,4418,48
ditto,en,50cc50rnd,medium,100un,54.01056130672075,1.6862698126832156,37.9575469486557,93.67660343270099,3,4458,21
ditto,en,50cc50rnd,small,000un,38.27665900995304,26.185993713867827,27.775607754079388,83.79120879120879,3,4427,43
ditto,en,50cc50rnd,small,050un,34.71188898988902,21.60242554673831,23.783759730266848,84.20038535645472,3,4418,48
ditto,en,50cc50rnd,small,100un,31.365382133222994,17.104220989458806,20.60139206353103,83.19783197831977,3,4458,21
ditto,en,80cc20rnd,large,000un,75.07405511897686,1.5770434257554515,66.07054908524836,86.93957115009748,3,4440,34
ditto,en,80cc20rnd,large,050un,65.62797466273268,0.8613159268145254,52.16509932848228,88.55032317636194,3,4437,33
ditto,en,80cc20rnd,large,100un,54.182084128051464,0.12811924020862298,39.01621482032606,88.69731800766283,3,4447,16
ditto,en,80cc20rnd,medium,000un,69.36191127489234,1.0155617704679107,58.555795349790856,85.0877192982456,3,4440,34
ditto,en,80cc20rnd,medium,050un,64.90164180845683,0.8572814585414968,51.04181089965487,89.10433979686057,3,4437,33
ditto,en,80cc20rnd,medium,100un,52.805399818896866,1.1295756706250673,37.65315630095504,88.40996168582376,3,4447,16
ditto,en,80cc20rnd,small,000un,59.61857202527847,2.22577494268268,45.13930497236914,88.10916179337232,3,4440,34
ditto,en,80cc20rnd,small,050un,54.83605937304505,1.4253721486778497,39.721752418411825,88.82733148661127,3,4437,33
ditto,en,80cc20rnd,small,100un,46.90016307679022,0.24328247262673383,31.815938389556948,89.36781609195403,3,4447,16
hiergat,de,20cc80rnd,large,000un,84.10335641239476,0.5462884972044117,77.1566209968479,92.46519246519246,3,4454,24
hiergat,de,20cc80rnd,large,050un,69.88661049933795,0.760734524175143,54.27751962852179,98.10606060606061,3,4429,26
hiergat,de,20cc80rnd,large,100un,57.37706380637343,0.8840278846805959,40.75100178200395,96.94444444444446,3,4449,10
hiergat,de,20cc80rnd,medium,000un,79.50423450684163,1.868126993951548,72.98197274524884,87.38738738738739,3,4454,24
hiergat,de,20cc80rnd,medium,050un,67.88632966831399,2.549527364101872,52.656787316414714,95.73863636363636,3,4429,26
hiergat,de,20cc80rnd,medium,100un,56.46557109639366,2.477278319441745,40.232885072356076,94.9074074074074,3,4449,10
hiergat,de,20cc80rnd,small,000un,64.98978788373964,3.179922165954134,53.777910106721464,82.14578214578215,3,4454,24
hiergat,de,20cc80rnd,small,050un,57.04237703599761,1.3229157650257037,41.77721186319383,90.15151515151514,3,4429,26
hiergat,de,20cc80rnd,small,100un,50.434287119719976,1.9579484113101104,34.81411532340587,91.75925925925925,3,4449,10
hiergat,de,50cc50rnd,large,000un,74.83155777714947,0.48661144272464574,64.5644405622171,89.01098901098901,2,4427,43
hiergat,de,50cc50rnd,large,050un,63.15853660897322,0.08787829082404153,47.879455346415696,92.77456647398844,2,4418,48
hiergat,de,50cc50rnd,large,100un,55.11124379973384,2.4700817589831234,39.26047280987092,92.54742547425474,2,4458,21
hiergat,de,50cc50rnd,medium,000un,65.71686795272868,5.148084227789071,54.454231876289136,82.96703296703298,3,4427,43
hiergat,de,50cc50rnd,medium,050un,58.64733238619954,4.136392574475724,43.992939427722035,88.24662813102118,3,4418,48
hiergat,de,50cc50rnd,medium,100un,49.58573283270412,3.609107113119258,34.68674979077821,87.2628726287263,3,4458,21
hiergat,de,50cc50rnd,small,000un,33.23244643248967,8.402159466469987,23.49240594250436,57.875457875457876,3,4427,43
hiergat,de,50cc50rnd,small,050un,30.908036352056723,10.131081185266016,21.278783883899635,57.70712909441232,3,4418,48
hiergat,de,50cc50rnd,small,100un,28.475360565909796,9.042811914693674,19.171274454158453,56.72990063233966,3,4458,21
hiergat,de,80cc20rnd,large,000un,64.62670370964814,0.9708693162233164,50.96490236692417,88.30409356725147,3,4440,34
hiergat,de,80cc20rnd,large,050un,57.07427781123672,0.98807422714795,42.19545837702712,88.18097876269621,3,4437,33
hiergat,de,80cc20rnd,large,100un,46.27307081563515,2.122956888734153,31.41908845422957,87.83524904214558,3,4447,16
hiergat,de,80cc20rnd,medium,000un,59.081404749181296,2.131264726839449,47.802638791010885,77.38791423001949,3,4440,34
hiergat,de,80cc20rnd,medium,050un,54.585282715954214,2.5597202923751383,41.72524267389239,78.94736842105264,3,4437,33
hiergat,de,80cc20rnd,medium,100un,47.55337399352755,1.4689962012695403,34.19261603138251,78.06513409961686,3,4447,16
hiergat,de,80cc20rnd,small,000un,24.32237411430016,5.575223837460101,17.134124873723767,42.30019493177388,3,4440,34
hiergat,de,80cc20rnd,small,050un,26.908773348889397,4.648495785208399,18.53508418857705,49.67682363804247,3,4437,33
hiergat,de,80cc20rnd,small,100un,26.807947010437697,5.360583882328183,18.331409814993346,50.47892720306513,3,4447,16
hiergat,en,20cc80rnd,large,000un,86.1567586971678,0.3614842383734696,80.2343195126655,93.03849303849303,3,4454,24
hiergat,en,20cc80rnd,large,050un,72.21159573919202,1.8339510811849604,57.46615192339545,97.25378787878788,3,4429,26
hiergat,en,20cc80rnd,large,100un,61.7863422307143,2.5188335228923453,45.03283251540111,98.6111111111111,3,4449,10
hiergat,en,20cc80rnd,medium,000un,79.94809738124194,1.1318722911093662,70.4680161747508,92.38329238329239,3,4454,24
hiergat,en,20cc80rnd,medium,050un,67.62651638727753,0.6603843200595954,51.70431070767798,97.72727272727273,3,4429,26
hiergat,en,20cc80rnd,medium,100un,57.87324731283024,0.905909388748115,41.011985450829535,98.33333333333333,3,4449,10
hiergat,en,20cc80rnd,small,000un,73.33889405973022,1.2501848892721386,63.272758326462046,87.22358722358722,3,4454,24
hiergat,en,20cc80rnd,small,050un,65.33308238381233,2.7974839076934894,50.51739416287912,92.51893939393939,3,4429,26
hiergat,en,20cc80rnd,small,100un,57.42409056846495,1.0928027635255249,41.44796009598584,93.51851851851852,3,4449,10
hiergat,en,50cc50rnd,large,000un,77.73203923210005,0.2607882402981545,67.18794824042499,92.21611721611721,3,4427,43
hiergat,en,50cc50rnd,large,050un,67.49449746056287,1.2449211877242232,52.691321196919056,93.9306358381503,3,4418,48
hiergat,en,50cc50rnd,large,100un,59.16879218907882,1.709447502484663,43.219997969718186,93.85727190605239,3,4458,21
hiergat,en,50cc50rnd,medium,000un,72.981178340317,1.7022083202959613,62.979024603243516,86.90476190476188,3,4427,43
hiergat,en,50cc50rnd,medium,050un,65.47158058145192,3.1145564556592493,51.14243092133868,91.13680154142583,3,4418,48
hiergat,en,50cc50rnd,medium,100un,57.479829293148896,2.961066041709306,42.317858702580075,89.7922312556459,3,4458,21
hiergat,en,50cc50rnd,small,000un,57.540807939322725,0.32138944404913766,44.06922879566647,83.05860805860806,3,4427,43
hiergat,en,50cc50rnd,small,050un,52.362769669271216,2.034204676920753,38.244354613883466,83.67052023121387,2,4418,48
hiergat,en,50cc50rnd,small,100un,47.149064043180346,1.690419112854568,33.066693283700396,82.65582655826559,2,4458,21
hiergat,en,80cc20rnd,large,000un,69.7596208998906,1.676233305177989,58.304207665737835,86.8421052631579,3,4440,34
hiergat,en,80cc20rnd,large,050un,64.13138894289439,0.6445369338604313,51.08988761170064,86.14958448753463,3,4437,33
hiergat,en,80cc20rnd,large,100un,53.59811749013934,0.7821135506722812,38.95946370597562,85.91954022988506,3,4447,16
hiergat,en,80cc20rnd,medium,000un,64.69187003433952,2.5901771782634473,52.72650093984266,83.82066276803118,3,4440,34
hiergat,en,80cc20rnd,medium,050un,58.66755212280069,3.1818314752535364,44.39437756274392,86.70360110803324,3,4437,33
hiergat,en,80cc20rnd,medium,100un,51.528579433134354,1.592162376527086,37.083279999321825,84.67432950191571,3,4447,16
hiergat,en,80cc20rnd,small,000un,43.24825567447416,12.103653560284338,32.10390616857743,67.93372319688109,3,4440,34
hiergat,en,80cc20rnd,small,050un,41.215769317194635,10.295967285990884,29.237573451558003,72.02216066481994,3,4437,33
hiergat,en,80cc20rnd,small,100un,37.66512422882614,9.2655693732971,25.99883190166761,70.88122605363985,3,4447,16
