variant,cc,size,un,pub_de,resc_de,d_de,pub_delta,resc_delta,d_delta,resc_en,pub_en,val_de,val_en,nse_de,nse_en
20cc small Seen,20cc80rnd,small,000un,77.31,71.92695034756191,-5.383049652438089,-0.52,6.697889851066321,7.217889851066321,78.62484019862823,76.79,77.31228020746637,76.79495012041244,3.0,3.0
20cc small Half,20cc80rnd,small,050un,68.52,59.65480780846108,-8.865192191538917,-3.73,6.203945667794777,9.933945667794777,65.85875347625586,64.78999999999999,68.52256852561312,64.78804403041414,3.0,3.0
20cc small Unseen,20cc80rnd,small,100un,59.16,50.85964830203263,-8.300351697967365,-2.65,5.395957487026024,8.045957487026024,56.255605789058656,56.51,59.15653852937163,56.5052316185103,3.0,3.0
20cc medium Seen,20cc80rnd,medium,000un,87.51,83.78564997337668,-3.724350026623327,-3.72,1.9887263341720285,5.708726334172029,85.7743763075487,83.79,87.50992661241007,83.78997343415966,3.0,3.0
20cc medium Half,20cc80rnd,medium,050un,75.29,66.72843021047997,-8.561569789520036,-6.99,2.892791981663322,9.882791981663322,69.62122219214329,68.30000000000001,75.28887975650944,68.30047265990217,3.0,3.0
20cc medium Unseen,20cc80rnd,medium,100un,64.26,56.77178255548419,-7.4882174445158185,-5.27,2.122501745538692,7.392501745538691,58.89428430102288,58.99000000000001,64.26211640114747,58.98553626378574,3.0,3.0
20cc large Seen,20cc80rnd,large,000un,91.76,86.38603277207535,-5.373967227924652,-5.6,1.9286932201570721,7.528693220157072,88.31472599223243,86.16000000000001,91.75512611565097,86.15518225068786,3.0,3.0
20cc large Half,20cc80rnd,large,050un,78.54,69.16608358526689,-9.373916414733117,-9.18,1.8566180980073312,11.036618098007331,71.02270168327422,69.36000000000001,78.5408647127617,69.35524693213024,3.0,3.0
20cc large Unseen,20cc80rnd,large,100un,65.24,57.07252305484256,-8.167476945157432,-4.92,3.08856015778521,8.00856015778521,60.16108321262777,60.31999999999999,65.23981183943668,60.318058865163856,3.0,3.0
50cc small Seen,50cc50rnd,small,000un,59.9,55.10549657998727,-4.794503420012731,-22.47,-16.828837570034224,5.6411624299657745,38.27665900995304,37.43,59.90027962056757,37.4324297269763,3.0,3.0
50cc small Half,50cc50rnd,small,050un,55.66,48.38308562017801,-7.276914379821989,-21.29,-13.67119663028899,7.61880336971101,34.71188898988902,34.37,55.66426614025878,34.37467163760126,3.0,3.0
50cc small Unseen,50cc50rnd,small,100un,49.83,42.768582540238185,-7.061417459761813,-18.08,-11.403200407015188,6.6767995929848105,31.365382133222997,31.75,49.828768102742,31.74589401399429,3.0,3.0
50cc medium Seen,50cc50rnd,medium,000un,78.08,75.19326839786899,-2.8867316021310074,-4.91,0.7675717736530885,5.677571773653089,75.96084017152208,73.17,78.0773408367406,73.17461410654785,3.0,3.0
50cc medium Half,50cc50rnd,medium,050un,67.77,61.666972220539776,-6.10302777946022,-7.26,0.33728395356069285,7.597283953560693,62.00425617410047,60.51,67.7692459454323,60.5137649200737,3.0,3.0
50cc medium Unseen,50cc50rnd,medium,100un,59.33,53.19532547097224,-6.134674529027755,-4.92,0.8152358357485099,5.73523583574851,54.01056130672075,54.41,59.33020573774981,54.41143951233686,3.0,3.0
50cc large Seen,50cc50rnd,large,000un,84.91,80.98532968735442,-3.924670312645574,-6.91,0.134804742777348,7.044804742777348,81.12013443013177,78.0,84.91482201422849,77.99742849061006,3.0,3.0
50cc large Half,50cc50rnd,large,050un,71.75,64.29247525359922,-7.457524746400779,-9.04,0.019170835432063882,9.059170835432063,64.31164608903129,62.71,71.7521143854632,62.71077272977095,3.0,3.0
50cc large Unseen,50cc50rnd,large,100un,59.33,52.2605596230998,-7.0694403769001966,-6.06,0.5575821981041287,6.617582198104128,52.81814182120393,53.269999999999996,59.3271608962423,53.27209215076862,3.0,3.0
80cc small Seen,80cc20rnd,small,000un,61.86,55.45368533720455,-6.406314662795452,-3.6,4.164886688073921,7.76488668807392,59.61857202527847,58.26,61.86004794769764,58.257151711888106,3.0,3.0
80cc small Half,80cc20rnd,small,050un,54.36,48.04816693882973,-6.311833061170269,0.03,6.787892434215323,6.757892434215322,54.83605937304505,54.39,54.35880849074632,54.39233554846076,3.0,3.0
80cc small Unseen,80cc20rnd,small,100un,49.38,43.00865862855725,-6.371341371442753,-2.15,3.891504448232972,6.041504448232972,46.90016307679022,47.230000000000004,49.37597099891728,47.23254508290642,3.0,3.0
