model,language,cc,size,un,f1_embedded_label,f1_preaudit_gold,f1_mean,step1_label_correction,step2_audit_row_removal,total
ditto,de,20cc80rnd,large,000un,91.75512611565097,84.32001630060635,86.38603277207535,-7.435109815044612,2.0660164714689984,-5.369093343575614
ditto,de,20cc80rnd,large,050un,78.5408647127617,67.6952482735845,69.16608358526689,-10.845616439177206,1.470835311682393,-9.374781127494813
ditto,de,20cc80rnd,large,100un,65.23981183943668,57.317648486833654,57.07252305484256,-7.922163352603029,-0.2451254319910916,-8.16728878459412
ditto,de,20cc80rnd,medium,000un,87.50992661241007,81.80316121062664,83.78564997337668,-5.706765401783429,1.9824887627500374,-3.7242766390333912
ditto,de,20cc80rnd,medium,050un,75.28887975650944,65.73240454420123,66.72843021047997,-9.556475212308214,0.9960256662787401,-8.560449546029474
ditto,de,20cc80rnd,medium,100un,64.26211640114747,56.946472226140116,56.77178255548419,-7.31564417500735,-0.17468967065592977,-7.4903338456632795
ditto,de,20cc80rnd,small,000un,77.31228020746637,70.4343349957385,71.92695034756191,-6.8779452117278765,1.4926153518234173,-5.385329859904459
ditto,de,20cc80rnd,small,050un,68.52256852561312,58.82877870777059,59.65480780846108,-9.693789817842536,0.8260291006904907,-8.867760717152045
ditto,de,20cc80rnd,small,100un,59.15653852937163,51.158291524670084,50.85964830203263,-7.998247004701547,-0.2986432226374518,-8.296890227338999
ditto,de,50cc50rnd,large,000un,84.91482201422849,78.09770249142629,80.98532968735442,-6.8171195228022015,2.8876271959281326,-3.929492326874069
ditto,de,50cc50rnd,large,050un,71.7521143854632,62.40027024802048,64.29247525359922,-9.351844137442718,1.892205005578738,-7.45963913186398
ditto,de,50cc50rnd,large,100un,59.3271608962423,52.772963335165805,52.2605596230998,-6.554197561076492,-0.5124037120660034,-7.066601273142496
ditto,de,50cc50rnd,medium,000un,78.0773408367406,72.73424677085563,75.19326839786899,-5.343094065884969,2.4590216270133567,-2.8840724388716126
ditto,de,50cc50rnd,medium,050un,67.7692459454323,60.05524089730938,61.666972220539776,-7.714005048122921,1.6117313232303943,-6.102273724892527
ditto,de,50cc50rnd,medium,100un,59.330205737749814,53.513177161044126,53.19532547097224,-5.817028576705688,-0.3178516900718833,-6.1348802667775715
