model,language,cc,size,un,f1_embedded_label,f1_preaudit_gold,f1_mean,step1_label_correction,step2_audit_row_removal,total
ditto,de,50cc50rnd,small,000un,59.90027962056757,53.801442113673865,55.10549657998727,-6.098837506893702,1.3040544663134028,-4.794783040580299
ditto,de,50cc50rnd,small,050un,55.66426614025878,47.65779371984149,48.38308562017801,-8.006472420417289,0.725291900336515,-7.281180520080774
ditto,de,50cc50rnd,small,100un,49.828768102742,43.269408140307426,42.768582540238185,-6.559359962434577,-0.5008256000692413,-7.060185562503818
ditto,de,80cc20rnd,large,000un,72.6918648567955,70.21078736028272,72.18482157907634,-2.481077496512782,1.9740342187936193,-0.5070432777191627
ditto,de,80cc20rnd,large,050un,64.10394158997583,61.75367197980529,62.76300534272918,-2.3502696101705425,1.0093333629238899,-1.3409362472466526
ditto,de,80cc20rnd,large,100un,51.68619897288399,50.36884800683023,50.211999145636014,-1.3173509660537661,-0.15684886119421293,-1.474199827247979
ditto,de,80cc20rnd,medium,000un,74.1080682057779,66.25418058676283,67.8839752575855,-7.853887619015069,1.629794670822676,-6.224092948192393
ditto,de,80cc20rnd,medium,050un,64.91163380880516,58.11011282441594,58.81832285149273,-6.801520984389221,0.7082100270767882,-6.093310957312433
ditto,de,80cc20rnd,medium,100un,54.155922428200576,49.0128020680388,48.59425671972818,-5.143120360161774,-0.41854534831062296,-5.561665708472397
ditto,de,80cc20rnd,small,000un,61.86004794769764,54.32002791071946,55.45368533720455,-7.540020036978177,1.1336574264850867,-6.40636261049309
ditto,de,80cc20rnd,small,050un,54.35880849074632,47.9087514226288,48.04816693882973,-6.450057068117523,0.13941551620093406,-6.310641551916589
ditto,de,80cc20rnd,small,100un,49.375970998917275,43.270018543655056,43.00865862855725,-6.105952455262219,-0.2613599150978061,-6.367312370360025
ditto,en,20cc80rnd,large,000un,86.15518225068786,86.15518225068786,88.31472599223243,0.0,2.1595437415445673,2.1595437415445673
ditto,en,20cc80rnd,large,050un,69.35524693213024,69.35524693213024,71.02270168327422,0.0,1.6674547511439783,1.6674547511439783
ditto,en,20cc80rnd,large,100un,60.31805886516386,60.31805886516386,60.16108321262777,0.0,-0.15697565253609014,-0.15697565253609014
ditto,en,20cc80rnd,medium,000un,83.78997343415966,83.78997343415966,85.7743763075487,0.0,1.984402873389044,1.984402873389044
ditto,en,20cc80rnd,medium,050un,68.30047265990217,68.30047265990217,69.62122219214329,0.0,1.3207495322411233,1.3207495322411233
ditto,en,20cc80rnd,medium,100un,58.98553626378574,58.98553626378574,58.89428430102288,0.0,-0.09125196276286118,-0.09125196276286118
ditto,en,20cc80rnd,small,000un,76.79495012041244,76.79495012041244,78.62484019862823,0.0,1.8298900782157972,1.8298900782157972
ditto,en,20cc80rnd,small,050un,64.78804403041414,64.78804403041414,65.85875347625586,0.0,1.0707094458417146,1.0707094458417146
ditto,en,20cc80rnd,small,100un,56.5052316185103,56.5052316185103,56.255605789058656,0.0,-0.24962582945164513,-0.24962582945164513
ditto,en,50cc50rnd,large,000un,77.99742849061006,77.99742849061006,81.12013443013177,0.0,3.1227059395217083,3.1227059395217083
ditto,en,50cc50rnd,large,050un,62.710772729770945,62.710772729770945,64.31164608903129,0.0,1.6008733592603406,1.6008733592603406
ditto,en,50cc50rnd,large,100un,53.27209215076862,53.27209215076862,52.81814182120393,0.0,-0.45395032956469095,-0.45395032956469095
ditto,en,50cc50rnd,medium,000un,73.17461410654785,73.17461410654785,75.96084017152208,0.0,2.7862260649742296,2.7862260649742296
ditto,en,50cc50rnd,medium,050un,60.5137649200737,60.5137649200737,62.00425617410047,0.0,1.4904912540267716,1.4904912540267716
ditto,en,50cc50rnd,medium,100un,54.41143951233686,54.41143951233686,54.01056130672075,0.0,-0.40087820561610954,-0.40087820561610954
ditto,en,50cc50rnd,small,000un,37.4324297269763,37.4324297269763,38.27665900995304,0.0,0.844229282976741,0.844229282976741
ditto,en,50cc50rnd,small,050un,34.37467163760126,34.37467163760126,34.71188898988902,0.0,0.33721735228775884,0.33721735228775884
ditto,en,50cc50rnd,small,100un,31.7458940139943,31.7458940139943,31.365382133222997,0.0,-0.3805118807713015,-0.3805118807713015
ditto,en,80cc20rnd,large,000un,72.96162482637568,72.96162482637568,75.07405511897686,0.0,2.112430292601175,2.112430292601175
ditto,en,80cc20rnd,large,050un,64.50169488702998,64.50169488702998,65.62797466273268,0.0,1.1262797757026988,1.1262797757026988
ditto,en,80cc20rnd,large,100un,54.23586337529159,54.23586337529159,54.18208412805146,0.0,-0.053779247240136385,-0.053779247240136385
ditto,en,80cc20rnd,medium,000un,67.71257442331597,67.71257442331597,69.36191127489234,0.0,1.649336851576365,1.649336851576365
ditto,en,80cc20rnd,medium,050un,63.91865931500963,63.91865931500963,64.90164180845683,0.0,0.9829824934472029,0.9829824934472029
ditto,en,80cc20rnd,medium,100un,52.92329006536738,52.92329006536738,52.80539981889687,0.0,-0.11789024647050894,-0.11789024647050894
ditto,en,80cc20rnd,small,000un,58.257151711888106,58.257151711888106,59.61857202527847,0.0,1.3614203133903615,1.3614203133903615
ditto,en,80cc20rnd,small,050un,54.39233554846076,54.39233554846076,54.83605937304505,0.0,0.44372382458429627,0.44372382458429627
ditto,en,80cc20rnd,small,100un,47.23254508290642,47.23254508290642,46.90016307679022,0.0,-0.33238200611619817,-0.33238200611619817
hiergat,de,20cc80rnd,large,000un,89.40559545998427,82.21346617819334,84.10335641239476,-7.192129281790926,1.8898902342014168,-5.302239047589509
hiergat,de,20cc80rnd,large,050un,79.43164730917658,68.33561507495169,69.88661049933795,-11.096032234224893,1.550995424386258,-9.545036809838635
hiergat,de,20cc80rnd,large,100un,65.79861802854748,57.62103712518643,57.37706380637343,-8.177580903361047,-0.24397331881300488,-8.421554222174052
hiergat,de,20cc80rnd,medium,000un,85.17261235816956,77.7882396894358,79.50423450684163,-7.384372668733761,1.7159948174058286,-5.668377851327932
hiergat,de,20cc80rnd,medium,050un,75.36067498909223,66.63291189759164,67.88632966831399,-8.727763091500591,1.2534177707223506,-7.474345320778241
hiergat,de,20cc80rnd,medium,100un,63.404323804747385,56.706370888484294,56.46557109639366,-6.697952916263091,-0.24079979209063396,-6.938752708353725
hiergat,de,20cc80rnd,small,000un,70.69156017210537,63.858762649595555,64.98978788373964,-6.832797522509814,1.131025234144083,-5.701772288365731
hiergat,de,20cc80rnd,small,050un,64.49742306526615,56.34790498510251,57.04237703599761,-8.149518080163638,0.6944720508951008,-7.455046029268537
hiergat,de,20cc80rnd,small,100un,57.48484008313748,50.75598829103851,50.434287119719976,-6.728851792098965,-0.32170117131853715,-7.050552963417502
hiergat,de,50cc50rnd,large,000un,79.89881976193234,72.1135609293504,74.83155777714947,-7.785258832581945,2.7179968477990712,-5.067261984782874
hiergat,de,50cc50rnd,large,050un,71.09357599669096,61.596384878210074,63.15853660897322,-9.497191118480885,1.5621517307631478,-7.935039387717737
hiergat,de,50cc50rnd,large,100un,62.16416094713792,55.44102121838431,55.11124379973384,-6.723139728753615,-0.3297774186504654,-7.052917147404081
hiergat,de,50cc50rnd,medium,000un,70.08030427611108,63.781353041715874,65.71686795272868,-6.298951234395204,1.9355149110128025,-4.363436323382402
hiergat,de,50cc50rnd,medium,050un,64.67801559082655,57.410791565872806,58.64733238619954,-7.267224024953741,1.2365408203267307,-6.03068320462701
hiergat,de,50cc50rnd,medium,100un,55.96054267309322,50.02921392354642,49.58573283270412,-5.9313287495468,-0.4434810908423046,-6.374809840389105
hiergat,de,50cc50rnd,small,000un,37.50618391149012,32.80362994997975,33.23244643248967,-4.702553961510368,0.4288164825099159,-4.273737479000452
hiergat,de,50cc50rnd,small,050un,37.82603023511418,30.84731270731001,30.908036352056723,-6.9787175278041715,0.060723644746712324,-6.917993883057459
hiergat,de,50cc50rnd,small,100un,35.016130249349324,28.785868367290902,28.4753605659098,-6.2302618820584215,-0.3105078013811031,-6.540769683439525
hiergat,de,80cc20rnd,large,000un,73.39143007013043,63.27053811716388,64.62670370964814,-10.120891952966545,1.3561655924842597,-8.764726360482285
hiergat,de,80cc20rnd,large,050un,65.39855046816821,56.21784061077809,57.07427781123672,-9.18070985739012,0.8564372004586289,-8.324272656931491
hiergat,de,80cc20rnd,large,100un,54.01487549170096,46.40374365351202,46.27307081563515,-7.611131838188946,-0.13067283787686534,-7.7418046760658115
hiergat,de,80cc20rnd,medium,000un,65.10046845516983,58.02372582729978,59.081404749181296,-7.076742627870054,1.057678921881518,-6.019063705988536
hiergat,de,80cc20rnd,medium,050un,60.658440932743986,53.78722223991841,54.58528271595421,-6.871218692825579,0.7980604760358005,-6.073158216789778
hiergat,de,80cc20rnd,medium,100un,52.61377744449462,47.681623716073226,47.55337399352755,-4.932153728421397,-0.12824972254567513,-5.060403450967073
hiergat,de,80cc20rnd,small,000un,30.097143042093204,24.432606685839527,24.32237411430016,-5.664536356253677,-0.11023257153936683,-5.774768927793044
hiergat,de,80cc20rnd,small,050un,31.79173314443943,27.03580560666747,26.9087733488894,-4.75592753777196,-0.12703225777806892,-4.882959795550029
hiergat,de,80cc20rnd,small,100un,30.326046420175242,26.97365879851863,26.807947010437697,-3.352387621656611,-0.1657117880809338,-3.5180994097375446
hiergat,en,20cc80rnd,large,000un,84.18152435346218,84.18152435346218,86.1567586971678,0.0,1.9752343437056226,1.9752343437056226
hiergat,en,20cc80rnd,large,050un,70.55720537931661,70.55720537931661,72.21159573919202,0.0,1.654390359875407,1.654390359875407
hiergat,en,20cc80rnd,large,100un,61.966745038421294,61.966745038421294,61.7863422307143,0.0,-0.18040280770699724,-0.18040280770699724
hiergat,en,20cc80rnd,medium,000un,78.28684282291765,78.28684282291765,79.94809738124194,0.0,1.6612545583242877,1.6612545583242877
hiergat,en,20cc80rnd,medium,050un,66.45261048896829,66.45261048896829,67.62651638727753,0.0,1.1739058983092434,1.1739058983092434
hiergat,en,20cc80rnd,medium,100un,58.01798639403322,58.01798639403322,57.87324731283024,0.0,-0.14473908120298518,-0.14473908120298518
hiergat,en,20cc80rnd,small,000un,71.91132921865918,71.91132921865918,73.33889405973022,0.0,1.427564841071046,1.427564841071046
hiergat,en,20cc80rnd,small,050un,64.36042588773098,64.36042588773098,65.33308238381233,0.0,0.972656496081342,0.972656496081342
hiergat,en,20cc80rnd,small,100un,57.540592844769016,57.540592844769016,57.42409056846495,0.0,-0.11650227630406818,-0.11650227630406818
hiergat,en,50cc50rnd,large,000un,74.98253174250334,74.98253174250334,77.73203923210005,0.0,2.7495074895967093,2.7495074895967093
hiergat,en,50cc50rnd,large,050un,65.62886785261307,65.62886785261307,67.49449746056287,0.0,1.8656296079497992,1.8656296079497992
hiergat,en,50cc50rnd,large,100un,59.6076365821803,59.6076365821803,59.16879218907882,0.0,-0.43884439310147627,-0.43884439310147627
hiergat,en,50cc50rnd,medium,000un,70.77208771173206,70.77208771173206,72.981178340317,0.0,2.2090906285849456,2.2090906285849456
hiergat,en,50cc50rnd,medium,050un,63.73556325125745,63.73556325125745,65.47158058145192,0.0,1.7360173301944641,1.7360173301944641
hiergat,en,50cc50rnd,medium,100un,57.810369608121825,57.810369608121825,57.479829293148896,0.0,-0.3305403149729287,-0.3305403149729287
hiergat,en,50cc50rnd,small,000un,56.36950357547218,56.36950357547218,57.540807939322725,0.0,1.1713043638505454,1.1713043638505454
hiergat,en,50cc50rnd,small,050un,51.315309964019434,51.315309964019434,52.362769669271216,0.0,1.0474597052517822,1.0474597052517822
hiergat,en,50cc50rnd,small,100un,47.64667889706539,47.64667889706539,47.149064043180346,0.0,-0.49761485388504667,-0.49761485388504667
hiergat,en,80cc20rnd,large,000un,68.09413373351737,68.09413373351737,69.7596208998906,0.0,1.6654871663732393,1.6654871663732393
hiergat,en,80cc20rnd,large,050un,62.855398347377296,62.855398347377296,64.13138894289439,0.0,1.2759905955170936,1.2759905955170936
hiergat,en,80cc20rnd,large,100un,53.49066081985337,53.49066081985337,53.59811749013934,0.0,0.10745667028596984,0.10745667028596984
hiergat,en,80cc20rnd,medium,000un,63.157059690255885,63.157059690255885,64.69187003433952,0.0,1.5348103440836312,1.5348103440836312
hiergat,en,80cc20rnd,medium,050un,57.936494978249755,57.936494978249755,58.66755212280069,0.0,0.7310571445509382,0.7310571445509382
hiergat,en,80cc20rnd,medium,100un,51.57453653887819,51.57453653887819,51.528579433134354,0.0,-0.045957105743838156,-0.045957105743838156
hiergat,en,80cc20rnd,small,000un,42.65880544470799,42.65880544470799,43.24825567447416,0.0,0.5894502297661717,0.5894502297661717
hiergat,en,80cc20rnd,small,050un,41.211614620542285,41.211614620542285,41.21576931719464,0.0,0.004154696652356904,0.004154696652356904
hiergat,en,80cc20rnd,small,100un,37.945864845829576,37.945864845829576,37.66512422882614,0.0,-0.28074061700343833,-0.28074061700343833
