variant,cc,size,un,pub_de,resc_de,d_de,pub_delta,resc_delta,d_delta,resc_en,pub_en,val_de,val_en,nse_de,nse_en
20cc small Seen,20cc80rnd,small,000un,70.69,64.98978788373964,-5.70021211626036,1.22,8.349106175990585,7.129106175990585,73.33889405973022,71.91,70.69156017210537,71.91132921865918,3.0,3.0
20cc small Half,20cc80rnd,small,050un,64.5,57.04237703599761,-7.45762296400239,-0.14,8.290705347814715,8.430705347814715,65.33308238381233,64.36,64.49742306526615,64.36042588773098,3.0,3.0
20cc small Unseen,20cc80rnd,small,100un,57.48,50.434287119719976,-7.045712880280021,0.06,6.989803448744972,6.9298034487449724,57.42409056846495,57.54,57.48484008313748,57.540592844769016,3.0,3.0
20cc medium Seen,20cc80rnd,medium,000un,85.17,79.50423450684163,-5.665765493158375,-6.88,0.4438628744003097,7.32386287440031,79.94809738124194,78.29,85.17261235816956,78.28684282291765,3.0,3.0
20cc medium Half,20cc80rnd,medium,050un,75.36,67.88632966831399,-7.473670331686009,-8.91,-0.2598132810364575,8.650186718963543,67.62651638727753,66.45,75.36067498909223,66.45261048896829,3.0,3.0
20cc medium Unseen,20cc80rnd,medium,100un,63.4,56.46557109639366,-6.934428903606339,-5.38,1.4076762164365775,6.787676216436577,57.87324731283024,58.019999999999996,63.404323804747385,58.01798639403322,3.0,3.0
20cc large Seen,20cc80rnd,large,000un,89.41,84.10335641239476,-5.306643587605237,-5.23,2.0534022847730427,7.283402284773043,86.1567586971678,84.17999999999999,89.40559545998427,84.18152435346218,3.0,3.0
20cc large Half,20cc80rnd,large,050un,79.43,69.88661049933795,-9.543389500662059,-8.87,2.3249852398540725,11.194985239854072,72.21159573919202,70.56,79.43164730917658,70.55720537931661,3.0,3.0
20cc large Unseen,20cc80rnd,large,100un,65.8,57.37706380637343,-8.422936193626569,-3.83,4.409278424340869,8.239278424340869,61.7863422307143,61.97,65.79861802854748,61.966745038421294,3.0,3.0
50cc small Seen,50cc50rnd,small,000un,37.51,33.23244643248967,-4.277553567510331,18.86,24.30836150683306,5.448361506833059,57.540807939322725,56.37,37.50618391149012,56.36950357547218,3.0,3.0
50cc small Half,50cc50rnd,small,050un,37.83,30.908036352056723,-6.921963647943276,13.49,21.454733317214494,7.964733317214494,52.362769669271216,51.32,37.82603023511418,51.31530996401944,3.0,2.0
50cc small Unseen,50cc50rnd,small,100un,35.02,28.4753605659098,-6.544639434090204,12.63,18.673703477270546,6.043703477270546,47.149064043180346,47.650000000000006,35.016130249349324,47.64667889706539,3.0,2.0
