model,classifier,variant,runs,backbone,validation_file,validation_rows,validation_sha256,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
ditto,,de_de,3,roberta-base,data/processed/ditto/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,0.4701017902752581,0.026524181818620263,0.8467220683287165,0.013942445863842544,0.6040639095663667,0.018428502073119368
ditto,,de_en,3,roberta-base,data/processed/ditto/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,0.40870121222758177,0.029204920306646773,0.7802400738688827,0.01802328836190501,0.5357671910029885,0.021669384362475196
ditto,,en_de,3,roberta-base,data/processed/ditto/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,0.40195665427006594,0.021315931693676907,0.7765466297322253,0.03246241150738123,0.5290119751034936,0.010696041264433888
ditto,,en_en,3,roberta-base,data/processed/ditto/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,0.4492977238198681,0.03121654989803536,0.8513388734995383,0.011532775620310982,0.5876918699191163,0.026025234028561477
ditto,,random,3,roberta-base,data/processed/ditto/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,0.43167540174870855,0.026573184393152652,0.8088642659279779,0.02091366879576382,0.562326019007813,0.018164486307007056
gpt,rule_guided,de_de,3,gpt-5.2 (zero-shot),,,,0.9463776557916078,0.007146783869505222,0.716528162511542,0.01394244586384255,0.8155096773271391,0.009413992327381687
gpt,rule_guided,de_en,3,gpt-5.2 (zero-shot),,,,0.923593903408294,0.008727273482965942,0.7479224376731302,0.0083102493074792,0.8265263591703312,0.008557072825142687
gpt,rule_guided,en_de,3,gpt-5.2 (zero-shot),,,,0.9361510329298334,0.0016312536556125313,0.7174515235457063,0.007328951000178914,0.8123228711889918,0.004469902454493119
gpt,rule_guided,en_en,3,gpt-5.2 (zero-shot),,,,0.9388574867703291,0.0032335343297673594,0.7229916897506925,0.009987676663335162,0.8168769910558835,0.006457294934932787
gpt,rule_guided,random,3,gpt-5.2 (zero-shot),,,,0.9371350910671904,0.009383974096719741,0.7285318559556787,0.007328951000178914,0.8197363877507061,0.005055884719873946
gpt,simple,de_de,3,gpt-5.2 (zero-shot),,,,0.5752107510936519,0.005756654320478148,0.9076638965835642,0.004231371832830837,0.704166957787713,0.005588481637184791
gpt,simple,de_en,3,gpt-5.2 (zero-shot),,,,0.593302574596372,0.005632933578382072,0.9159741458910434,0.008462743665661783,0.7201459070711669,0.006755817007004252
gpt,simple,en_de,3,gpt-5.2 (zero-shot),,,,0.5751793840668954,0.0050823133556247,0.9224376731301939,0.005540166204986152,0.7085240440464785,0.002255987253501788
gpt,simple,en_en,3,gpt-5.2 (zero-shot),,,,0.6083133187153694,0.0057814713678602326,0.9233610341643583,0.0031986164498040543,0.7334220475490231,0.004031878824082247
gpt,simple,random,3,gpt-5.2 (zero-shot),,,,0.584674551614235,0.005493983238992004,0.9150507848568791,0.0057663878101554995,0.7134706972996839,0.005712634229432855
hiergat,,de_de,3,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,0.43810413143219923,0.016759706235966947,0.8771929824561403,0.024201925063861787,0.5839929179066798,0.010158902525022016
hiergat,,de_en,3,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,0.33539585452026666,0.01262815914759417,0.817174515235457,0.02163504065348102,0.4753960317763464,0.011738468086337887
hiergat,,en_de,3,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,0.3426298530862256,0.017333412095172494,0.8190212373037858,0.027884891727685147,0.4827458559176925,0.014526219232582386
hiergat,,en_en,3,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,0.40431552972021456,0.021307044318133263,0.8716528162511542,0.021516491593224437,0.5519242167515809,0.015236261945909258
hiergat,,random,3,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,0.37944399939658197,0.014599141453038728,0.8467220683287165,0.01525642810882579,0.5238195012717561,0.011215457666716328
magellan,DecisionTree,de_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.20049041900738862,0.007734229662119872,0.8744228993536473,0.020039274620693173,0.326125771251658,0.01033707823756447
magellan,DecisionTree,de_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.19709240611367124,0.004846807946644073,0.8282548476454293,0.036329299303612186,0.3182664834279731,0.00414235824515786
