model,classifier,variant,runs,backbone,validation_file,validation_rows,validation_sha256,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
magellan,DecisionTree,en_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.1946336549952282,0.005108935055536078,0.8291782086795937,0.03507556770678223,0.3151414568407556,0.005688774636711916
magellan,DecisionTree,en_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.1979484876035378,0.0055607175193715845,0.8698060941828255,0.02163504065348102,0.32242181511957374,0.006320540206272431
magellan,DecisionTree,random,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.1988627242019311,0.007010209135991195,0.853185595567867,0.029315804000715637,0.3224291817357994,0.008546886059481191
magellan,LinearSVC,de_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.2133142448103078,0.0,0.8254847645429363,0.0,0.3390216154721274,0.0
magellan,LinearSVC,de_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.2202826267664173,0.0,0.7340720221606648,0.0,0.3388746803069054,0.0
magellan,LinearSVC,en_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.2218570254724733,0.0,0.7479224376731302,0.0,0.34220532319391633,0.0
magellan,LinearSVC,en_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.21755162241887904,0.0,0.817174515235457,0.0,0.34362259755387303,0.0
magellan,LinearSVC,random,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.21981424148606812,0.0,0.7867036011080333,0.0,0.34361766485178463,0.0
magellan,LogisticRegression,de_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.2182628062360802,0.0,0.814404432132964,0.0,0.3442622950819672,0.0
magellan,LogisticRegression,de_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.22852081488042517,0.0,0.7146814404432132,0.0,0.34630872483221475,0.0
magellan,LogisticRegression,en_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.2234982332155477,0.0,0.7008310249307479,0.0,0.33891493636972536,0.0
magellan,LogisticRegression,en_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.2226502311248074,0.0,0.8005540166204986,0.0,0.34840265220012057,0.0
magellan,LogisticRegression,random,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.22357723577235772,0.0,0.7617728531855956,0.0,0.34569453174104336,0.0
magellan,NaiveBayes,de_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.1708413615928067,0.0,0.7368421052631579,0.0,0.2773722627737226,0.0
magellan,NaiveBayes,de_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.1743486973947896,0.0,0.7229916897506925,0.0,0.28094725511302476,0.0
magellan,NaiveBayes,en_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.1711229946524064,0.0,0.7091412742382271,0.0,0.27571351642434033,0.0
magellan,NaiveBayes,en_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.17263427109974425,0.0,0.7479224376731302,0.0,0.2805194805194805,0.0
magellan,NaiveBayes,random,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.17297650130548303,0.0,0.7340720221606648,0.0,0.2799788695192816,0.0
magellan,RandomForest,de_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.21033658343911332,0.00043404518730301076,0.9168975069252078,0.005540166204986152,0.34217651703777235,0.0008268607316371626
magellan,RandomForest,de_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.19372336905045268,0.0007594720127130185,0.8550323176361958,0.004231371832830897,0.31587855014846344,0.0012947026407862617
magellan,RandomForest,en_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.19451702316725059,0.0009527939795295448,0.8578024007386889,0.0015993082249019953,0.3171219478432137,0.001300152952701106
magellan,RandomForest,en_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.20713780190901546,0.00023104582192070148,0.9002770083102494,0.00479792467470605,0.33678621979959533,0.0006124931863375156
magellan,RandomForest,random,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.203096523094092,0.0012854088394618076,0.8845798707294552,0.004231371832830837,0.3303465085799763,0.0019947427707519253
magellan,XGBoost,de_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.22249343773501654,0.002591950966187497,0.8984302862419206,0.013090902011780078,0.35663624853930465,0.002461339548943307
magellan,XGBoost,de_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.21403220874573708,0.0025887433282402,0.8079409048938134,0.013942445863842603,0.3384137338253083,0.004458706119727541
magellan,XGBoost,en_de,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.20997214432337616,0.001596832419264165,0.8005540166204986,0.011080332409972304,0.33268445890633425,0.002934558795305934
magellan,XGBoost,en_en,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.22112973402695393,0.000824382202829201,0.8771929824561404,0.01525642810882575,0.35320991152139647,0.0022042458649030425
magellan,XGBoost,random,3,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.2216878911900462,0.0016986553872259337,0.8568790397045245,0.01421496243614094,0.3522381625564896,0.0030543334738160057
r-supcon,,de_de,3,roberta-base,data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.32243370389368176,0.021449556906267247,0.8707294552169899,0.008904571339790375,0.4702356205992306,0.021859617204353025
r-supcon,,de_en,3,roberta-base,data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.3325793593572347,0.007680148424547293,0.7959372114496768,0.0305128562176515,0.46906274684376564,0.011296136246088877
r-supcon,,en_de,3,roberta-base,data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.32612151389765526,0.006460899819134923,0.7820867959372114,0.0031986164498039905,0.4602661190224645,0.005878348198883919
r-supcon,,en_en,3,roberta-base,data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.26446050061067644,0.01811135368274913,0.9150507848568791,0.01421496243614094,0.4099945174908683,0.020533450483138926
r-supcon,,random,3,roberta-base,data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.30409587736337607,0.010164889474968493,0.8337950138504155,0.016620498614958457,0.44549140785369845,0.008677360801370665
roberta,,de_de,3,roberta-base,data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.4271702582643511,0.023735953287548524,0.8984302862419206,0.018023288361905015,0.5785888726950723,0.019371137171222973
roberta,,de_en,3,roberta-base,data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.3728487965753372,0.024385173798596522,0.8134810710987996,0.08951841173123817,0.5102792653856765,0.03162797623342301
roberta,,en_de,3,roberta-base,data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.3554468412363958,0.0192317068023269,0.8236380424746076,0.024827940276544346,0.4963561030008204,0.02000972041015249
roberta,,en_en,3,roberta-base,data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.37843850806172374,0.03910087006481508,0.8947368421052632,0.02091366879576387,0.5309231040097852,0.037557220975394885
roberta,,random,3,roberta-base,data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,0.38196337823667015,0.02284469439538125,0.8522622345337026,0.03339453614039729,0.5270570293679474,0.021423826889770094
wordcooc,DecisionTree,de_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.20727966836418743,0.0023029402252771804,0.17359187442289936,0.0015993082249020113,0.18894582856312125,0.0019042518282708588
wordcooc,DecisionTree,de_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.22950819672131148,0.0,0.038781163434903045,0.0,0.06635071090047394,0.0
wordcooc,DecisionTree,en_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.26666666666666666,0.0,0.0443213296398892,0.0,0.07600950118764846,0.0
wordcooc,DecisionTree,en_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.26229508196721313,0.0,0.0443213296398892,0.0,0.07582938388625593,0.0
wordcooc,DecisionTree,random,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.2526455026455026,0.002291072496784221,0.08771929824561403,0.0015993082249020113,0.1302229090370245,0.0020679452475049235
wordcooc,LinearSVC,de_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.38716814159292035,0.0,0.48476454293628807,0.0,0.43050430504305043,0.0
wordcooc,LinearSVC,de_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.3283898305084746,0.0,0.4293628808864266,0.0,0.37214885954381755,0.0
wordcooc,LinearSVC,en_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.326226012793177,0.0,0.42382271468144045,0.0,0.3686746987951807,0.0
wordcooc,LinearSVC,en_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.19014778325123152,0.0,0.5346260387811634,0.0,0.2805232558139535,0.0
wordcooc,LinearSVC,random,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.27040816326530615,0.0,0.4404432132963989,0.0,0.3350895679662803,0.0
wordcooc,LogisticRegression,de_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.39816933638443935,0.0,0.481994459833795,0.0,0.43609022556390975,0.0
wordcooc,LogisticRegression,de_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.3340857787810384,0.0,0.4099722991689751,0.0,0.3681592039800995,0.0
wordcooc,LogisticRegression,en_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.3348623853211009,0.0,0.40443213296398894,0.0,0.36637390213299875,0.0
wordcooc,LogisticRegression,en_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.19127849355797819,0.0,0.5346260387811634,0.0,0.28175182481751826,0.0
wordcooc,LogisticRegression,random,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.2722419928825623,0.0,0.42382271468144045,0.0,0.3315276273022752,0.0
wordcooc,NaiveBayes,de_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.3626943005181347,0.0,0.3878116343490305,0.0,0.3748326639892905,0.0
wordcooc,NaiveBayes,de_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.4069264069264069,0.0,0.26038781163434904,0.0,0.31756756756756754,0.0
wordcooc,NaiveBayes,en_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.42016806722689076,0.0,0.2770083102493075,0.0,0.333889816360601,0.0
wordcooc,NaiveBayes,en_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.13711151736745886,0.0,0.6232686980609419,0.0,0.22477522477522477,0.0
wordcooc,NaiveBayes,random,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.2247557003257329,0.0,0.38227146814404434,0.0,0.28307692307692306,0.0
wordcooc,RandomForest,de_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.2810280339131895,0.030404311525437107,0.30378578024007385,0.032105888551641204,0.2897580122924081,0.0019406447229166498
wordcooc,RandomForest,de_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.26873635837150356,0.029338781610102678,0.20867959372114497,0.016231205753690615,0.2336564800892686,0.003957478635366014
wordcooc,RandomForest,en_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.25978928156628506,0.041078465462381385,0.20221606648199444,0.014657902000357834,0.22630117822541992,0.018251950083390846
wordcooc,RandomForest,en_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.13397407834227693,0.030441787137366314,0.44136657433056325,0.07341155756343845,0.20164007346699386,0.02464760900491563
wordcooc,RandomForest,random,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.19165905369771802,0.029213819990158967,0.28901200369344415,0.022218299936317555,0.22856285652282357,0.013312682938625548
wordcooc,XGBoost,de_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.25641061583029623,0.012903807413307874,0.33518005540166207,0.007328951000178935,0.29030851797086255,0.005473763851218698
wordcooc,XGBoost,de_en,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.31144462127418204,0.02580396058217525,0.21791320406278855,0.009728212144831713,0.25624694359249456,0.01408537372612303
wordcooc,XGBoost,en_de,3,n/a (binary word co-occurrence features),data/processed_cross_language/wordcooc/preprocessed_products80cc20rnd000un_valid_large_wordcooc.pkl.gz,4452,5eb2144d5a22e173709fd4151f1a609cb22f4d091960e344bfdc123ae9140223,0.305630486211302,0.018397824645731444,0.21514312096029548,0.0015993082249020113,0.25240583402983774,0.00717225270905561
