model,classifier,seed,variant,precision,recall,f1,backbone,validation_file,validation_rows,validation_sha256,source_file
gpt,rule_guided,,de_de,0.951310861423221,0.703601108033241,0.8089171974522293,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/de_de/metrics.json
gpt,rule_guided,,de_de,0.9381818181818182,0.7146814404432132,0.8113207547169812,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/de_de_run2/metrics.json
gpt,rule_guided,,de_de,0.9496402877697842,0.7313019390581718,0.8262910798122066,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/de_de_run3/metrics.json
gpt,rule_guided,,de_en,0.931740614334471,0.7562326869806094,0.8348623853211009,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/de_en/metrics.json
gpt,rule_guided,,de_en,0.9143835616438356,0.739612188365651,0.8177641653905053,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/de_en_run2/metrics.json
gpt,rule_guided,,de_en,0.9246575342465754,0.7479224376731302,0.8269525267993875,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/de_en_run3/metrics.json
gpt,rule_guided,,en_de,0.9357142857142857,0.7257617728531855,0.8174726989079563,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/en_de/metrics.json
gpt,rule_guided,,en_de,0.9347826086956522,0.7146814404432132,0.8100470957613815,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/en_de_run2/metrics.json
gpt,rule_guided,,en_de,0.9379562043795621,0.7119113573407202,0.8094488188976378,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/en_de_run3/metrics.json
gpt,rule_guided,,en_en,0.9379562043795621,0.7119113573407202,0.8094488188976378,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/en_en/metrics.json
gpt,rule_guided,,en_en,0.9424460431654677,0.7257617728531855,0.8200312989045383,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/en_en_run2/metrics.json
gpt,rule_guided,,en_en,0.9361702127659575,0.7313019390581718,0.8211508553654744,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/en_en_run3/metrics.json
gpt,rule_guided,,random,0.9430604982206405,0.7340720221606648,0.8255451713395638,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/random/metrics.json
gpt,rule_guided,,random,0.9420289855072463,0.7202216066481995,0.8163265306122449,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/random_run2/metrics.json
gpt,rule_guided,,random,0.9263157894736842,0.7313019390581718,0.8173374613003096,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/rule_guided/random_run3/metrics.json
gpt,simple,,de_de,0.5764499121265377,0.9085872576177285,0.7053763440860215,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/de_de/metrics.json
gpt,simple,,de_de,0.568935427574171,0.9030470914127424,0.6980728051391863,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/de_de_run2/metrics.json
gpt,simple,,de_de,0.5802469135802469,0.9113573407202216,0.709051724137931,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/de_de_run3/metrics.json
gpt,simple,,de_en,0.5888689407540395,0.9085872576177285,0.7145969498910676,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/de_en/metrics.json
gpt,simple,,de_en,0.599640933572711,0.925207756232687,0.7276688453159041,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/de_en_run2/metrics.json
gpt,simple,,de_en,0.5913978494623656,0.9141274238227147,0.7181719260065288,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/de_en_run3/metrics.json
gpt,simple,,en_de,0.5741379310344827,0.9224376731301939,0.7077577045696068,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/en_de/metrics.json
gpt,simple,,en_de,0.5807017543859649,0.9168975069252078,0.7110633727175081,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/en_de_run2/metrics.json
gpt,simple,,en_de,0.5706984667802385,0.9279778393351801,0.7067510548523207,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/en_de_run3/metrics.json
gpt,simple,,en_en,0.6018018018018018,0.925207756232687,0.7292576419213974,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/en_en/metrics.json
gpt,simple,,en_en,0.6128440366972477,0.925207756232687,0.7373068432671082,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/en_en_run2/metrics.json
gpt,simple,,en_en,0.6102941176470589,0.9196675900277008,0.7337016574585635,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/en_en_run3/metrics.json
gpt,simple,,random,0.5784832451499118,0.9085872576177285,0.7068965517241379,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/random/metrics.json
gpt,simple,,random,0.5865724381625441,0.9196675900277008,0.7162891046386192,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/random_run2/metrics.json
gpt,simple,,random,0.5889679715302492,0.9168975069252078,0.7172264355362947,gpt-5.2 (zero-shot),,,,results/generated/cross_language/gpt/gpt-5.2/simple/random_run3/metrics.json
hiergat,,0,de_de,0.44060773480662985,0.8836565096952909,0.5880184331797235,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=0_batch=16_lm=roberta_adjusted.txt
hiergat,,0,de_en,0.34285714285714286,0.8310249307479224,0.4854368932038835,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=0_batch=16_lm=roberta_adjusted.txt
hiergat,,0,en_de,0.3419282511210762,0.8448753462603878,0.4868316041500399,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=0_batch=16_lm=roberta_adjusted.txt
hiergat,,0,en_en,0.39575530586766544,0.8781163434903048,0.5456110154905336,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=0_batch=16_lm=roberta_adjusted.txt
hiergat,,0,random,0.3709090909090909,0.8476454293628809,0.5160202360876898,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=0_batch=16_lm=roberta_adjusted.txt
hiergat,,1,de_de,0.42023346303501946,0.8975069252077562,0.5724381625441696,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=1_batch=16_lm=roberta_adjusted.txt
hiergat,,1,de_en,0.3208154506437768,0.8282548476454293,0.46249033255993816,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=1_batch=16_lm=roberta_adjusted.txt
hiergat,,1,en_de,0.3256578947368421,0.8227146814404432,0.4666142969363708,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=1_batch=16_lm=roberta_adjusted.txt
hiergat,,1,en_en,0.38861985472154964,0.889196675900277,0.5408593091828138,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=1_batch=16_lm=roberta_adjusted.txt
hiergat,,1,random,0.3711217183770883,0.8614958448753463,0.5187656380316931,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=1_batch=16_lm=roberta_adjusted.txt
