model,classifier,variant,runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
hiergat,,en_de,3,0.3772220117047703,0.024668746529696056,0.7451523545706371,0.062373020771178365,0.4992248009630617,0.007206588145969102
hiergat,,en_en,3,0.44645412466167184,0.020626763926810218,0.814404432132964,0.0384832243475064,0.5759842963525169,0.008078311353874653
hiergat,,random,3,0.41865433485714554,0.023774128634405183,0.7820867959372114,0.06233199937853248,0.5438992124426641,0.010856087907772458
magellan,DecisionTree,de_de,3,0.2061887025052565,0.0025616399073827723,0.853185595567867,0.019191698698824134,0.3321107399369921,0.004725989196333041
magellan,DecisionTree,de_en,3,0.1960213402045549,0.006130181611693546,0.7848568790397045,0.0015993082249020592,0.313665875651704,0.007960398921092357
magellan,DecisionTree,en_de,3,0.19681032740701412,0.001996084670126399,0.7922437673130194,0.00479792467470605,0.315286079191835,0.0022044799251300018
magellan,DecisionTree,en_en,3,0.20191753835696105,0.0004795509232334741,0.8337950138504155,0.01684975770165712,0.325094323944314,0.0019008029393676159
magellan,DecisionTree,random,3,0.20165588937867046,0.003813740499519279,0.8162511542012927,0.011195157574314094,0.3234113066854513,0.005779520632825173
magellan,LinearSVC,de_de,3,0.2133142448103078,0.0,0.8254847645429363,0.0,0.3390216154721274,0.0
magellan,LinearSVC,de_en,3,0.2202826267664173,0.0,0.7340720221606648,0.0,0.3388746803069054,0.0
magellan,LinearSVC,en_de,3,0.2218570254724733,0.0,0.7479224376731302,0.0,0.34220532319391633,0.0
magellan,LinearSVC,en_en,3,0.21755162241887904,0.0,0.817174515235457,0.0,0.34362259755387303,0.0
magellan,LinearSVC,random,3,0.21981424148606812,0.0,0.7867036011080333,0.0,0.34361766485178463,0.0
magellan,LogisticRegression,de_de,3,0.2182628062360802,0.0,0.814404432132964,0.0,0.3442622950819672,0.0
magellan,LogisticRegression,de_en,3,0.22852081488042517,0.0,0.7146814404432132,0.0,0.34630872483221475,0.0
magellan,LogisticRegression,en_de,3,0.2234982332155477,0.0,0.7008310249307479,0.0,0.33891493636972536,0.0
magellan,LogisticRegression,en_en,3,0.2226502311248074,0.0,0.8005540166204986,0.0,0.34840265220012057,0.0
magellan,LogisticRegression,random,3,0.22357723577235772,0.0,0.7617728531855956,0.0,0.34569453174104336,0.0
magellan,NaiveBayes,de_de,3,0.1708413615928067,0.0,0.7368421052631579,0.0,0.2773722627737226,0.0
magellan,NaiveBayes,de_en,3,0.1743486973947896,0.0,0.7229916897506925,0.0,0.28094725511302476,0.0
magellan,NaiveBayes,en_de,3,0.1711229946524064,0.0,0.7091412742382271,0.0,0.27571351642434033,0.0
magellan,NaiveBayes,en_en,3,0.17263427109974425,0.0,0.7479224376731302,0.0,0.2805194805194805,0.0
magellan,NaiveBayes,random,3,0.17297650130548303,0.0,0.7340720221606648,0.0,0.2799788695192816,0.0
magellan,RandomForest,de_de,3,0.20855181377302287,0.0019722090743512404,0.9205909510618652,0.004231371832830897,0.34005836211336626,0.002352873170411841
magellan,RandomForest,de_en,3,0.1932902643890321,0.0014074972321131702,0.8605724838411819,0.0057663878101554995,0.3156729203030293,0.0017436989687067174
magellan,RandomForest,en_de,3,0.19360084048522683,0.001387897428729618,0.8587257617728532,0.005540166204986152,0.3159609240580025,0.001500638787179525
magellan,RandomForest,en_en,3,0.20642429261787107,0.0005177298604564014,0.9076638965835642,0.010487365366205493,0.3363502527878288,0.0012610384114087336
magellan,RandomForest,random,3,0.20198096964603998,0.002148339173000771,0.8919667590027701,0.002770083102493104,0.3293721441814147,0.0028380049215274506
magellan,XGBoost,de_de,3,0.23701425562870843,0.024693445325638465,0.8125577100646353,0.14236538409756627,0.3633982313124746,0.01209177870027763
magellan,XGBoost,de_en,3,0.224207658900026,0.020504192909451626,0.7229916897506925,0.13913981556647492,0.33865138004933937,0.004811287600348878
magellan,XGBoost,en_de,3,0.2198334150497459,0.027629226872630162,0.7091412742382271,0.12298045917131917,0.3317961564450793,0.015414598172814348
magellan,XGBoost,en_en,3,0.23355794047502368,0.0226020851149225,0.7867036011080333,0.14873566491588697,0.35641385498788686,0.007581105407282841
magellan,XGBoost,random,3,0.2338945949004215,0.023850643663341903,0.7774699907663897,0.13840254814133127,0.3559996625988377,0.009897588879702674
r-supcon,,de_de,3,0.3380482427070354,0.020847016333423757,0.8605724838411819,0.025135101733732575,0.4849223733727482,0.018894271467134925
r-supcon,,de_en,3,0.33896779399915844,0.02458574619871891,0.7700831024930748,0.03265879812341159,0.4699096943991683,0.019293295541928455
r-supcon,,en_de,3,0.33513113812476425,0.024999419901538568,0.7673130193905817,0.043973706001073504,0.4654230507804758,0.017904143196680256
r-supcon,,en_en,3,0.27393627711839563,0.011923268068584772,0.925207756232687,0.01684975770165712,0.4225372074791376,0.012698362543687225
r-supcon,,random,3,0.31214724236840957,0.019134006712550014,0.8245614035087719,0.027746960667251516,0.4523177955812068,0.015994155145670392
roberta,,de_de,3,0.5051552237634448,0.033236962290079226,0.8568790397045245,0.03881412660569476,0.6343831277229561,0.015503987663472838
roberta,,de_en,3,0.4197436979856671,0.03170855558732544,0.7377654662973223,0.05034646677826622,0.5334126952887631,0.015042315066774274
roberta,,en_de,3,0.4316399638304694,0.024277413137874123,0.7442289935364728,0.05214333482362141,0.5451902503946265,0.013942518055550763
roberta,,en_en,3,0.44210317747229777,0.01762329306384508,0.8494921514312096,0.03327944836738709,0.5810362393831375,0.0087000690855183
roberta,,random,3,0.4440782303213441,0.023170796855120194,0.7894736842105263,0.0518974902913994,0.5672277733170104,0.008170347170880264
wordcooc,DecisionTree,de_de,6,0.2079132215885824,0.0015168392950543465,0.1745152354570637,0.002477637648199214,0.18975349169750813,0.002066389076717826
wordcooc,DecisionTree,de_en,3,0.22950819672131148,0.0,0.038781163434903045,0.0,0.06635071090047394,0.0
wordcooc,DecisionTree,en_de,3,0.26666666666666666,0.0,0.0443213296398892,0.0,0.07600950118764846,0.0
wordcooc,DecisionTree,en_en,3,0.26229508196721313,0.0,0.0443213296398892,0.0,0.07582938388625593,0.0
wordcooc,DecisionTree,random,3,0.25132275132275134,0.002291072496784221,0.08679593721144968,0.0015993082249020113,0.12902898029170812,0.0020679452475049235
wordcooc,LinearSVC,de_de,6,0.38596491228070173,0.0,0.48753462603878117,0.0,0.43084455324357407,0.0
wordcooc,LinearSVC,de_en,3,0.32577319587628867,0.0,0.4376731301939058,0.0,0.3735224586288416,0.0
wordcooc,LinearSVC,en_de,3,0.31752577319587627,0.0,0.4265927977839335,0.0,0.3640661938534279,0.0
wordcooc,LinearSVC,en_en,3,0.18829268292682927,0.0,0.5346260387811634,0.0,0.2784992784992785,0.0
wordcooc,LinearSVC,random,3,0.26800670016750416,0.0,0.44321329639889195,0.0,0.33402922755741127,0.0
wordcooc,LogisticRegression,de_de,6,0.39816933638443935,0.0,0.481994459833795,0.0,0.43609022556390975,0.0
wordcooc,LogisticRegression,de_en,3,0.3340857787810384,0.0,0.4099722991689751,0.0,0.3681592039800995,0.0
wordcooc,LogisticRegression,en_de,3,0.3348623853211009,0.0,0.40443213296398894,0.0,0.36637390213299875,0.0
wordcooc,LogisticRegression,en_en,3,0.19127849355797819,0.0,0.5346260387811634,0.0,0.28175182481751826,0.0
wordcooc,LogisticRegression,random,3,0.2722419928825623,0.0,0.42382271468144045,0.0,0.3315276273022752,0.0
wordcooc,NaiveBayes,de_de,5,0.3601036269430052,0.0,0.3850415512465374,0.0,0.37215528781793844,0.0
wordcooc,NaiveBayes,de_en,3,0.405982905982906,0.0,0.2631578947368421,0.0,0.31932773109243695,0.0
wordcooc,NaiveBayes,en_de,3,0.41841004184100417,0.0,0.2770083102493075,0.0,0.3333333333333333,0.0
wordcooc,NaiveBayes,en_en,3,0.1362810417928528,0.0,0.6232686980609419,0.0,0.22365805168986083,0.0
wordcooc,NaiveBayes,random,3,0.2224025974025974,0.0,0.37950138504155123,0.0,0.2804503582395087,0.0
wordcooc,RandomForest,de_de,6,0.26538496207735846,0.012722844393782847,0.2945521698984303,0.012221896293831414,0.2787899924238218,0.004017543749218984
wordcooc,RandomForest,de_en,3,0.31121582913008283,0.043836727842874755,0.2012927054478301,0.02115685916415438,0.24248727511702417,0.011449281710159187
wordcooc,RandomForest,en_de,3,0.2978275662273965,0.03275179821365169,0.19852262234533702,0.026327936157679137,0.2366356142691308,0.017088731005495645
wordcooc,RandomForest,en_en,3,0.15801901304461746,0.029173672200621746,0.3518005540166205,0.06334956579517603,0.21541375994806866,0.02931424146884935
wordcooc,RandomForest,random,3,0.21941375982754083,0.021045058853150608,0.2594644506001847,0.013664495463479906,0.23696791379039978,0.008446516140899269
wordcooc,XGBoost,de_de,6,0.24573108210476924,0.007556458453042254,0.3490304709141274,0.004955275296398428,0.2882944314772614,0.003536182500752943
wordcooc,XGBoost,de_en,3,0.32054048003887997,0.01832028916001213,0.23176361957525393,0.005766387810155495,0.2688022669668193,0.006040007392033564
wordcooc,XGBoost,en_de,3,0.30321763024064685,0.015370295374418334,0.2188365650969529,0.01207451230897694,0.25396755514402575,0.009467543335719522
wordcooc,XGBoost,en_en,3,0.16411298221509346,0.004933080009257201,0.36472760849492153,0.01525642810882578,0.22633747132105936,0.007002608439956831
wordcooc,XGBoost,random,3,0.2238208313700609,0.0014016919489438678,0.2807017543859649,0.01309090201178007,0.24898707926714117,0.006068530911374711
