model,classifier,variant,runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
ditto,,de_de,2,0.5500042793563849,0.03228701367365824,0.8060941828254847,0.0,0.6535971272893646,0.022822862265202765
ditto,,de_en,2,0.4574335534662806,0.04526872815306309,0.7008310249307479,0.007834978184892497,0.5530483486770102,0.03561406071900308
ditto,,en_de,2,0.45445075666239065,0.03862935414732591,0.7008310249307479,0.007834978184892497,0.5507600395760253,0.026022884585442232
ditto,,en_en,2,0.521482623699155,0.06122795790957881,0.7811634349030471,0.011752467277338785,0.6241214321069131,0.04031943632702045
ditto,,random,2,0.49291255691075986,0.05031018496530343,0.7437673130193906,0.0019587445462231046,0.5921943463326416,0.03704738656458807
gpt,rule_guided,de_de,1,0.951310861423221,0.0,0.703601108033241,0.0,0.8089171974522293,0.0
gpt,rule_guided,de_en,1,0.931740614334471,0.0,0.7562326869806094,0.0,0.8348623853211009,0.0
gpt,rule_guided,en_de,1,0.9357142857142857,0.0,0.7257617728531855,0.0,0.8174726989079563,0.0
gpt,rule_guided,en_en,1,0.9379562043795621,0.0,0.7119113573407202,0.0,0.8094488188976378,0.0
gpt,rule_guided,random,1,0.9430604982206405,0.0,0.7340720221606648,0.0,0.8255451713395638,0.0
gpt,simple,de_de,1,0.5764499121265377,0.0,0.9085872576177285,0.0,0.7053763440860215,0.0
gpt,simple,de_en,1,0.5888689407540395,0.0,0.9085872576177285,0.0,0.7145969498910676,0.0
gpt,simple,en_de,1,0.5741379310344827,0.0,0.9224376731301939,0.0,0.7077577045696068,0.0
gpt,simple,en_en,1,0.6018018018018018,0.0,0.925207756232687,0.0,0.7292576419213974,0.0
gpt,simple,random,1,0.5784832451499118,0.0,0.9085872576177285,0.0,0.7068965517241379,0.0
hiergat,,de_de,3,0.4835857754579209,0.0345318062806299,0.8245614035087719,0.05437647964666835,0.6079083603188432,0.014875553359280877
hiergat,,de_en,3,0.37177838828725,0.023825624107068073,0.7359187442289935,0.051551338327637475,0.49266890624953985,0.009377340531385886
