dataset,threshold,count,precision,recall,f1
medium_products80cc20rnd050un_RandomForest_3,0.9,3,1.0,1.0,1.0
medium_products50cc50rnd000un_XGBoost_3,0.98,2,1.0,1.0,1.0
small_products80cc20rnd050un_LogisticRegression_2,0.96,2,1.0,1.0,1.0
small_products80cc20rnd050un_LogisticRegression_1,0.96,2,1.0,1.0,1.0
large_products50cc50rnd100un_XGBoost_3,0.975,7,1.0,1.0,1.0
large_products80cc20rnd000un_DecisionTree_2,0.9400000000000001,47,0.2553191489361702,1.0,0.4067796610169492
small_products20cc80rnd000un_LinearSVC_3,0.925,3,1.0,1.0,1.0
small_products20cc80rnd050un_RandomForest_3,0.92,32,0.53125,1.0,0.6938775510204082
large_products50cc50rnd000un_LinearSVC_2,0.72,8,1.0,1.0,1.0
small_products50cc50rnd050un_RandomForest_3,0.915,67,0.43283582089552236,1.0,0.6041666666666666
large_products80cc20rnd100un_LinearSVC_3,0.7000000000000001,9,0.5555555555555556,1.0,0.7142857142857143
large_products50cc50rnd050un_NaiveBayes_1,0.995,985,0.2467005076142132,1.0,0.3957654723127036
medium_products50cc50rnd100un_DecisionTree_3,0.7000000000000001,421,0.2992874109263658,1.0,0.4606946983546618
large_products80cc20rnd050un_LinearSVC_1,0.67,32,0.4375,1.0,0.6086956521739131
large_products50cc50rnd000un_LinearSVC_1,0.72,8,1.0,1.0,1.0
large_products20cc80rnd050un_LinearSVC_1,0.8150000000000001,12,1.0,1.0,1.0
large_products20cc80rnd000un_LinearSVC_2,0.805,16,1.0,1.0,1.0
small_products80cc20rnd100un_LinearSVC_2,0.66,154,0.2922077922077922,1.0,0.45226130653266333
large_products80cc20rnd000un_LogisticRegression_1,0.925,4,0.75,1.0,0.8571428571428571
large_products20cc80rnd050un_NaiveBayes_2,1.0,145,0.4413793103448276,1.0,0.6124401913875598
large_products80cc20rnd000un_LogisticRegression_2,0.925,4,0.75,1.0,0.8571428571428571
small_products20cc80rnd050un_LinearSVC_2,0.925,1,1.0,1.0,1.0
small_products20cc80rnd100un_RandomForest_3,0.915,86,0.5348837209302325,1.0,0.696969696969697
large_products80cc20rnd050un_DecisionTree_3,0.795,499,0.22645290581162325,1.0,0.369281045751634
small_products80cc20rnd000un_LinearSVC_2,0.705,4,1.0,1.0,1.0
small_products20cc80rnd100un_LogisticRegression_3,0.995,33,0.6060606060606061,1.0,0.7547169811320755
large_products50cc50rnd050un_XGBoost_1,0.98,5,1.0,1.0,1.0
small_products20cc80rnd100un_LinearSVC_1,0.93,3,1.0,1.0,1.0
large_products50cc50rnd000un_NaiveBayes_1,0.995,949,0.24973656480505796,1.0,0.3996627318718381
medium_products20cc80rnd000un_LogisticRegression_1,0.995,4,1.0,1.0,1.0
medium_products20cc80rnd000un_DecisionTree_3,0.975,11,0.6363636363636364,1.0,0.7777777777777778
medium_products20cc80rnd000un_LinearSVC_1,0.8250000000000001,14,1.0,1.0,1.0
small_products80cc20rnd000un_DecisionTree_2,0.8250000000000001,463,0.23974082073434125,1.0,0.3867595818815331
large_products20cc80rnd100un_LinearSVC_1,0.84,1,1.0,1.0,1.0
medium_products20cc80rnd100un_XGBoost_2,0.98,1,1.0,1.0,1.0
large_products20cc80rnd100un_XGBoost_2,0.525,4,0.75,1.0,0.8571428571428571
small_products80cc20rnd100un_LinearSVC_1,0.66,154,0.2922077922077922,1.0,0.45226130653266333
medium_products50cc50rnd050un_LogisticRegression_1,0.98,1,1.0,1.0,1.0
medium_products50cc50rnd100un_LinearSVC_2,0.77,9,0.7777777777777778,1.0,0.875
medium_products20cc80rnd100un_DecisionTree_2,0.86,722,0.36426592797783935,1.0,0.534010152284264
small_products20cc80rnd050un_NaiveBayes_3,1.0,197,0.4263959390862944,1.0,0.597864768683274
large_products50cc50rnd000un_LogisticRegression_1,0.925,8,1.0,1.0,1.0
medium_products50cc50rnd100un_LinearSVC_1,0.77,9,0.7777777777777778,1.0,0.875
medium_products20cc80rnd050un_LinearSVC_2,0.8300000000000001,10,1.0,1.0,1.0
medium_products20cc80rnd100un_RandomForest_2,0.92,5,1.0,1.0,1.0
medium_products80cc20rnd100un_LinearSVC_1,0.685,8,0.375,1.0,0.5454545454545454
medium_products50cc50rnd000un_DecisionTree_2,0.73,93,0.41935483870967744,1.0,0.5909090909090909
medium_products50cc50rnd000un_NaiveBayes_1,0.995,865,0.26242774566473986,1.0,0.4157509157509158
medium_products50cc50rnd050un_NaiveBayes_2,0.995,926,0.2473002159827214,1.0,0.3965367965367965
small_products80cc20rnd100un_LogisticRegression_1,0.925,24,0.3333333333333333,1.0,0.5
medium_products20cc80rnd000un_NaiveBayes_2,1.0,124,0.4274193548387097,1.0,0.5988700564971752
small_products20cc80rnd050un_LinearSVC_3,0.925,1,1.0,1.0,1.0
medium_products20cc80rnd100un_NaiveBayes_3,1.0,235,0.3446808510638298,1.0,0.5126582278481012
large_products50cc50rnd100un_RandomForest_2,0.99,2,1.0,1.0,1.0
medium_products50cc50rnd050un_LinearSVC_3,0.805,1,1.0,1.0,1.0
medium_products20cc80rnd000un_DecisionTree_2,0.86,652,0.3911042944785276,1.0,0.5622932745314223
small_products50cc50rnd050un_XGBoost_2,0.98,4,0.5,1.0,0.6666666666666666
small_products20cc80rnd050un_XGBoost_3,0.985,1,1.0,1.0,1.0
large_products80cc20rnd100un_LogisticRegression_3,0.935,1,1.0,1.0,1.0
medium_products80cc20rnd050un_LinearSVC_1,0.715,2,0.5,1.0,0.6666666666666666
large_products50cc50rnd000un_XGBoost_2,0.97,7,1.0,1.0,1.0
medium_products80cc20rnd100un_DecisionTree_3,0.86,430,0.27209302325581397,1.0,0.42778793418647165
small_products20cc80rnd100un_XGBoost_3,0.9500000000000001,114,0.4649122807017544,1.0,0.6347305389221557
small_products80cc20rnd050un_LogisticRegression_3,0.96,2,1.0,1.0,1.0
small_products20cc80rnd100un_DecisionTree_3,0.865,747,0.35475234270414996,1.0,0.5237154150197628
small_products80cc20rnd000un_DecisionTree_1,0.8250000000000001,463,0.23974082073434125,1.0,0.3867595818815331
small_products20cc80rnd050un_NaiveBayes_1,1.0,197,0.4263959390862944,1.0,0.597864768683274
medium_products20cc80rnd000un_LogisticRegression_3,0.995,4,1.0,1.0,1.0
medium_products20cc80rnd050un_XGBoost_1,0.99,12,0.6666666666666666,1.0,0.8
large_products20cc80rnd050un_LogisticRegression_1,0.99,6,1.0,1.0,1.0
small_products80cc20rnd100un_XGBoost_1,0.975,1,1.0,1.0,1.0
medium_products50cc50rnd100un_DecisionTree_2,0.905,80,0.3875,1.0,0.5585585585585585
medium_products50cc50rnd000un_LinearSVC_2,0.755,7,1.0,1.0,1.0
large_products80cc20rnd050un_LinearSVC_3,0.67,32,0.4375,1.0,0.6086956521739131
medium_products80cc20rnd000un_RandomForest_1,0.92,1,1.0,1.0,1.0
small_products50cc50rnd000un_NaiveBayes_2,0.995,1071,0.23529411764705882,1.0,0.38095238095238093
small_products80cc20rnd050un_DecisionTree_2,0.8250000000000001,442,0.29411764705882354,1.0,0.45454545454545453
small_products80cc20rnd100un_LogisticRegression_3,0.925,24,0.3333333333333333,1.0,0.5
large_products50cc50rnd000un_LinearSVC_3,0.72,8,1.0,1.0,1.0
small_products50cc50rnd000un_NaiveBayes_1,0.995,1071,0.23529411764705882,1.0,0.38095238095238093
medium_products20cc80rnd100un_LogisticRegression_3,0.995,6,1.0,1.0,1.0
large_products80cc20rnd000un_XGBoost_2,0.98,3,1.0,1.0,1.0
medium_products50cc50rnd100un_NaiveBayes_2,0.995,1098,0.22586520947176686,1.0,0.3684992570579495
large_products20cc80rnd050un_NaiveBayes_3,1.0,145,0.4413793103448276,1.0,0.6124401913875598
medium_products20cc80rnd000un_XGBoost_1,0.995,1,1.0,1.0,1.0
large_products80cc20rnd100un_LinearSVC_1,0.7000000000000001,9,0.5555555555555556,1.0,0.7142857142857143
large_products50cc50rnd050un_NaiveBayes_2,0.995,985,0.2467005076142132,1.0,0.3957654723127036
small_products80cc20rnd100un_XGBoost_2,0.855,385,0.2805194805194805,1.0,0.4381338742393509
medium_products20cc80rnd000un_XGBoost_3,0.99,3,1.0,1.0,1.0
medium_products20cc80rnd050un_LinearSVC_3,0.8300000000000001,10,1.0,1.0,1.0
small_products20cc80rnd000un_NaiveBayes_2,1.0,159,0.42138364779874216,1.0,0.5929203539823009
medium_products50cc50rnd100un_RandomForest_2,0.8250000000000001,13,1.0,1.0,1.0
small_products50cc50rnd000un_DecisionTree_3,0.505,1031,0.27449078564500484,1.0,0.4307458143074581
medium_products80cc20rnd000un_LogisticRegression_2,0.935,2,0.5,1.0,0.6666666666666666
small_products50cc50rnd100un_XGBoost_3,0.9500000000000001,51,0.43137254901960786,1.0,0.6027397260273972
large_products80cc20rnd000un_XGBoost_3,0.965,6,1.0,1.0,1.0
large_products20cc80rnd100un_NaiveBayes_2,1.0,227,0.34801762114537443,1.0,0.5163398692810458
medium_products50cc50rnd100un_XGBoost_3,0.965,13,0.9230769230769231,1.0,0.96
medium_products20cc80rnd100un_NaiveBayes_1,1.0,235,0.3446808510638298,1.0,0.5126582278481012
large_products50cc50rnd050un_LogisticRegression_3,0.9400000000000001,9,1.0,1.0,1.0
medium_products80cc20rnd050un_NaiveBayes_1,0.995,861,0.18118466898954705,1.0,0.30678466076696165
large_products50cc50rnd100un_XGBoost_1,0.98,4,1.0,1.0,1.0
