Size,Unseen,Corner Cases,F1 Base (%),ECE Base,F1 Temp (%),ECE Temp,F1 MC (%),ECE MC,F1 Ens (%),ECE Ens
small,000un,20cc80,72.11 ± 1.75,0.0486 ± 0.0076,72.11 ± 1.75,0.0512 ± 0.0089,69.96 ± 1.94,0.0575 ± 0.0054,72.71,0.0449
small,050un,20cc80,61.34 ± 2.09,0.0774 ± 0.0121,61.34 ± 2.09,0.0814 ± 0.0121,59.66 ± 1.95,0.0921 ± 0.0087,62.85,0.0733
small,100un,20cc80,55.13 ± 1.91,0.1072 ± 0.0141,55.13 ± 1.91,0.1082 ± 0.0136,52.63 ± 1.68,0.1251 ± 0.0106,55.98,0.1056
small,000un,50cc50,33.94 ± 23.28,0.2034 ± 0.1451,33.94 ± 23.28,0.2087 ± 0.1435,35.65 ± 18.08,0.2089 ± 0.1345,50.60,0.1030
small,050un,50cc50,29.13 ± 20.61,0.2195 ± 0.1352,29.13 ± 20.61,0.2226 ± 0.1353,30.36 ± 18.09,0.2245 ± 0.1245,44.76,0.1233
small,100un,50cc50,28.66 ± 20.30,0.2270 ± 0.1258,28.66 ± 20.30,0.2283 ± 0.1274,29.80 ± 16.04,0.2322 ± 0.1155,43.66,0.1341
small,000un,80cc20,23.99 ± 17.04,0.1992 ± 0.0974,23.99 ± 17.04,0.2138 ± 0.1066,23.85 ± 16.93,0.2015 ± 0.0899,36.78,0.1233
small,050un,80cc20,24.55 ± 17.40,0.2094 ± 0.0859,24.55 ± 17.40,0.2220 ± 0.0967,24.02 ± 17.02,0.2132 ± 0.0771,38.45,0.1382
small,100un,80cc20,23.97 ± 17.01,0.2095 ± 0.0884,23.97 ± 17.01,0.2242 ± 0.0975,23.98 ± 17.01,0.2161 ± 0.0775,37.04,0.1394
medium,000un,20cc80,81.20 ± 0.96,0.0313 ± 0.0040,81.20 ± 0.96,0.0277 ± 0.0015,80.16 ± 1.38,0.0339 ± 0.0043,81.72,0.0306
medium,050un,20cc80,65.68 ± 0.72,0.0709 ± 0.0006,65.68 ± 0.72,0.0731 ± 0.0016,63.62 ± 0.22,0.0826 ± 0.0008,66.34,0.0700
medium,100un,20cc80,58.01 ± 1.06,0.1106 ± 0.0038,58.01 ± 1.06,0.1141 ± 0.0039,54.48 ± 0.47,0.1297 ± 0.0006,57.72,0.1114
medium,000un,50cc50,70.83 ± 0.99,0.0417 ± 0.0026,70.83 ± 0.99,0.0374 ± 0.0034,66.83 ± 2.10,0.0568 ± 0.0037,72.43,0.0373
medium,050un,50cc50,57.33 ± 1.47,0.0803 ± 0.0056,57.33 ± 1.47,0.0781 ± 0.0064,53.79 ± 0.87,0.1065 ± 0.0072,58.49,0.0786
medium,100un,50cc50,52.70 ± 1.62,0.1136 ± 0.0090,52.70 ± 1.62,0.1123 ± 0.0097,48.18 ± 1.40,0.1534 ± 0.0102,54.02,0.1153
medium,000un,80cc20,43.16 ± 30.53,0.1483 ± 0.1373,43.16 ± 30.53,0.1587 ± 0.1482,39.82 ± 28.24,0.1590 ± 0.1183,67.82,0.0451
medium,050un,80cc20,37.70 ± 26.67,0.1682 ± 0.1190,37.70 ± 26.67,0.1779 ± 0.1304,33.58 ± 23.81,0.1915 ± 0.0913,58.66,0.0771
medium,100un,80cc20,32.83 ± 23.22,0.1898 ± 0.1061,32.83 ± 23.22,0.1996 ± 0.1174,28.71 ± 20.32,0.2177 ± 0.0749,50.48,0.1084
large,000un,20cc80,84.95 ± 0.18,0.0270 ± 0.0004,84.95 ± 0.18,0.0259 ± 0.0011,83.78 ± 0.80,0.0299 ± 0.0007,85.05,0.0261
large,050un,20cc80,69.57 ± 0.59,0.0652 ± 0.0026,69.57 ± 0.59,0.0678 ± 0.0016,66.70 ± 0.86,0.0770 ± 0.0025,69.46,0.0661
large,100un,20cc80,59.24 ± 1.54,0.1083 ± 0.0065,59.24 ± 1.54,0.1100 ± 0.0053,55.99 ± 0.91,0.1268 ± 0.0046,58.67,0.1117
large,000un,50cc50,76.31 ± 0.68,0.0399 ± 0.0025,76.31 ± 0.68,0.0375 ± 0.0026,73.27 ± 0.59,0.0493 ± 0.0024,77.52,0.0385
large,050un,50cc50,61.85 ± 1.36,0.0853 ± 0.0085,61.85 ± 1.36,0.0837 ± 0.0084,59.34 ± 0.96,0.1007 ± 0.0059,61.81,0.0849
large,100un,50cc50,53.31 ± 1.07,0.1336 ± 0.0096,53.31 ± 1.07,0.1320 ± 0.0103,49.15 ± 0.54,0.1633 ± 0.0080,52.63,0.1352
large,000un,80cc20,70.74 ± 1.47,0.0494 ± 0.0042,70.74 ± 1.47,0.0471 ± 0.0070,69.07 ± 1.25,0.0551 ± 0.0064,73.26,0.0445
large,050un,80cc20,60.54 ± 1.64,0.0881 ± 0.0091,60.54 ± 1.64,0.0844 ± 0.0119,57.69 ± 1.66,0.1042 ± 0.0112,61.54,0.0848
large,100un,80cc20,48.90 ± 2.08,0.1350 ± 0.0169,48.90 ± 2.08,0.1315 ± 0.0201,46.24 ± 1.82,0.1607 ± 0.0173,49.88,0.1319
