dataset,threshold,count,precision,recall,f1
medium_products80cc20rnd050un_RandomForest_3,0.9550000000000001,2,1.0,1.0,1.0
medium_products50cc50rnd000un_XGBoost_3,0.985,14,0.7142857142857143,1.0,0.8333333333333334
small_products80cc20rnd050un_LogisticRegression_2,0.98,2,1.0,1.0,1.0
small_products80cc20rnd050un_LogisticRegression_1,0.98,2,1.0,1.0,1.0
large_products50cc50rnd100un_XGBoost_3,0.98,19,0.8421052631578947,1.0,0.9142857142857143
large_products80cc20rnd000un_DecisionTree_2,0.985,93,0.24731182795698925,1.0,0.39655172413793105
small_products20cc80rnd000un_LinearSVC_3,0.8,45,0.8444444444444444,1.0,0.9156626506024096
small_products20cc80rnd050un_RandomForest_3,0.93,11,0.9090909090909091,1.0,0.9523809523809523
large_products50cc50rnd000un_LinearSVC_2,0.745,24,0.8333333333333334,1.0,0.9090909090909091
small_products50cc50rnd050un_RandomForest_3,0.925,6,0.8333333333333334,1.0,0.9090909090909091
large_products80cc20rnd100un_LinearSVC_3,0.81,2,1.0,1.0,1.0
large_products50cc50rnd050un_NaiveBayes_1,0.99,1005,0.24477611940298508,1.0,0.3932853717026379
medium_products50cc50rnd100un_DecisionTree_3,0.93,141,0.3333333333333333,1.0,0.5
large_products80cc20rnd050un_LinearSVC_1,0.795,1,1.0,1.0,1.0
large_products50cc50rnd000un_LinearSVC_1,0.745,24,0.8333333333333334,1.0,0.9090909090909091
large_products20cc80rnd050un_LinearSVC_1,0.795,37,0.8378378378378378,1.0,0.9117647058823529
large_products20cc80rnd000un_LinearSVC_2,0.785,35,0.8571428571428571,1.0,0.9230769230769231
small_products80cc20rnd100un_LinearSVC_2,0.8,2,1.0,1.0,1.0
large_products80cc20rnd000un_LogisticRegression_1,0.84,178,0.39325842696629215,1.0,0.5645161290322581
large_products20cc80rnd050un_NaiveBayes_2,1.0,182,0.4340659340659341,1.0,0.6053639846743295
large_products80cc20rnd000un_LogisticRegression_2,0.84,178,0.39325842696629215,1.0,0.5645161290322581
small_products20cc80rnd050un_LinearSVC_2,0.89,3,1.0,1.0,1.0
small_products20cc80rnd100un_RandomForest_3,0.93,9,0.8888888888888888,1.0,0.9411764705882353
large_products80cc20rnd050un_DecisionTree_3,0.88,178,0.2696629213483146,1.0,0.4247787610619469
small_products80cc20rnd000un_LinearSVC_2,0.7000000000000001,135,0.37777777777777777,1.0,0.5483870967741935
small_products20cc80rnd100un_LogisticRegression_3,0.985,107,0.5514018691588785,1.0,0.7108433734939759
large_products50cc50rnd050un_XGBoost_1,0.98,19,0.8947368421052632,1.0,0.9444444444444444
small_products20cc80rnd100un_LinearSVC_1,0.9400000000000001,2,1.0,1.0,1.0
large_products50cc50rnd000un_NaiveBayes_1,0.995,923,0.24485373781148428,1.0,0.39338555265448216
medium_products20cc80rnd000un_LogisticRegression_1,0.98,44,0.8409090909090909,1.0,0.9135802469135802
medium_products20cc80rnd000un_DecisionTree_3,0.935,53,0.6037735849056604,1.0,0.7529411764705882
medium_products20cc80rnd000un_LinearSVC_1,0.78,46,0.8260869565217391,1.0,0.9047619047619048
