model,language,size,test,seed,precision,recall,f1,n_pairs,n_dropped_predictions
xlmr,de,small,Seen,0,41.30434782608695,83.33333333333334,55.232558139534895,4440,0
xlmr,de,small,Half-Seen,0,35.45034642032333,85.0415512465374,50.04074979625101,4437,0
xlmr,de,small,Unseen,0,27.81818181818182,87.93103448275862,42.26519337016575,4447,0
xlmr,de,small,Seen,1,48.18481848184818,85.38011695906432,61.60337552742617,4440,0
xlmr,de,small,Half-Seen,1,42.13483146067416,83.10249307479224,55.91798695246971,4437,0
xlmr,de,small,Unseen,1,31.76470588235294,85.34482758620689,46.297739672642244,4447,0
xlmr,de,small,Seen,2,42.72445820433436,80.7017543859649,55.87044534412955,4440,0
xlmr,de,small,Half-Seen,2,34.59657701711492,78.39335180055402,48.00678541136557,4437,0
xlmr,de,small,Unseen,2,27.872127872127873,80.17241379310344,41.36397331356561,4447,0
xlmr,de,medium,Seen,0,59.62732919254658,84.21052631578947,69.81818181818183,4440,0
xlmr,de,medium,Half-Seen,0,48.76441515650741,81.99445983379502,61.15702479338844,4437,0
xlmr,de,medium,Unseen,0,37.319316688567675,81.60919540229885,51.21731289449956,4447,0
xlmr,de,medium,Seen,1,56.55430711610487,88.30409356725146,68.94977168949772,4440,0
xlmr,de,medium,Half-Seen,1,48.22485207100592,90.30470914127424,62.87367405978785,4437,0
xlmr,de,medium,Unseen,1,36.177474402730375,91.37931034482759,51.83374083129585,4447,0
xlmr,de,medium,Seen,2,56.385068762278976,83.91812865497076,67.45005875440658,4440,0
xlmr,de,medium,Half-Seen,2,42.997198879551824,85.0415512465374,57.11627906976745,4437,0
xlmr,de,medium,Unseen,2,32.96943231441048,86.7816091954023,47.784810126582286,4447,0
xlmr,de,large,Seen,0,63.06122448979592,90.35087719298247,74.27884615384615,4440,0
xlmr,de,large,Half-Seen,0,49.38461538461538,88.9196675900277,63.501483679525215,4437,0
xlmr,de,large,Unseen,0,36.1849710982659,89.9425287356322,51.6075845012366,4447,0
xlmr,de,large,Seen,1,62.15139442231076,91.22807017543859,73.9336492890995,4440,0
xlmr,de,large,Half-Seen,1,49.47209653092006,90.85872576177285,64.0625,4437,0
xlmr,de,large,Unseen,1,37.102473498233216,90.51724137931035,52.63157894736843,4447,0
xlmr,de,large,Seen,2,63.44969199178645,90.35087719298247,74.54764776839566,4440,0
xlmr,de,large,Half-Seen,2,49.09365558912387,90.02770083102493,63.5386119257087,4437,0
xlmr,de,large,Unseen,2,34.60246360582307,88.79310344827587,49.79854955680903,4447,0
xlmr,en,small,Seen,0,43.8136826783115,88.01169590643275,58.50340136054422,4440,0
xlmr,en,small,Half-Seen,0,38.641975308641975,86.70360110803324,53.45858240819812,4437,0
xlmr,en,small,Unseen,0,31.443298969072163,87.64367816091954,46.28224582701061,4447,0
xlmr,en,small,Seen,1,49.14383561643836,83.91812865497076,61.98704103671706,4440,0
xlmr,en,small,Half-Seen,1,41.8732782369146,84.21052631578947,55.93376264949402,4437,0
xlmr,en,small,Unseen,1,34.00954653937948,81.89655172413794,48.06070826306914,4447,0
xlmr,en,small,Seen,2,40.59097978227061,76.31578947368422,52.994923857868024,4440,0
xlmr,en,small,Half-Seen,2,32.114285714285714,77.8393351800554,45.469255663430424,4437,0
xlmr,en,small,Unseen,2,27.368421052631582,82.18390804597702,41.062455132806896,4447,0
xlmr,en,medium,Seen,0,61.61825726141079,86.8421052631579,72.0873786407767,4440,0
xlmr,en,medium,Half-Seen,0,48.01762114537445,90.58171745152355,62.76391554702495,4437,0
xlmr,en,medium,Unseen,0,36.60508083140878,91.0919540229885,52.224052718286664,4447,0
xlmr,en,medium,Seen,1,64.70588235294117,86.8421052631579,74.15730337078651,4440,0
xlmr,en,medium,Half-Seen,1,51.03338632750397,88.9196675900277,64.84848484848483,4437,0
xlmr,en,medium,Unseen,1,39.29471032745592,89.65517241379311,54.64098073555167,4447,0
xlmr,en,medium,Seen,2,57.38963531669866,87.42690058479532,69.29316338354576,4440,0
xlmr,en,medium,Half-Seen,2,46.51851851851852,86.98060941828255,60.61776061776062,4437,0
xlmr,en,medium,Unseen,2,35.80246913580247,91.66666666666666,51.493139628732855,4447,0
xlmr,en,large,Seen,0,58.152173913043484,93.85964912280701,71.81208053691276,4440,0
xlmr,en,large,Half-Seen,0,44.53024453024453,95.84487534626038,60.80843585237259,4437,0
xlmr,en,large,Unseen,0,31.326434619002825,95.6896551724138,47.20056697377746,4447,0
xlmr,en,large,Seen,1,60.15325670498084,91.81286549707602,72.68518518518519,4440,0
xlmr,en,large,Half-Seen,1,48.285714285714285,93.62880886426593,63.71347785108388,4437,0
xlmr,en,large,Unseen,1,35.155412647374064,94.25287356321839,51.20999219359875,4447,0
xlmr,en,large,Seen,2,62.4,91.22807017543859,74.10926365795724,4440,0
xlmr,en,large,Half-Seen,2,45.50335570469798,93.90581717451524,61.30198915009042,4437,0
xlmr,en,large,Unseen,2,32.80788177339902,95.6896551724138,48.86280264123257,4447,0
