model,language,size,test,f1_mean,f1_std,n_seeds,precision_mean,recall_mean,seeds
roberta_bs32_full,de,large,Half-Seen,59.29449858435495,1.6777863821557844,3,44.65282046805296,88.45798707294551,"0,1,2"
roberta_bs32_full,de,large,Seen,72.45862604701966,0.9925709986330705,3,60.229592121518834,90.93567251461987,"0,1,2"
roberta_bs32_full,de,large,Unseen,45.319190943907394,1.3152223645159842,3,30.853629861286958,86.20689655172414,"0,1,2"
roberta_bs32_full,de,medium,Half-Seen,53.978655642662936,1.6570389962109038,3,39.24876483071025,86.42659279778394,"0,1,2"
roberta_bs32_full,de,medium,Seen,64.67342609863645,1.540650125031057,3,51.64765876698984,86.74463937621833,"0,1,2"
roberta_bs32_full,de,medium,Unseen,43.72045118072399,1.5326186848039383,3,29.214900740439344,86.87739463601532,"0,1,2"
roberta_bs32_full,de,small,Half-Seen,32.42088570407989,15.68817833594988,4,24.977828044805424,63.6426592797784,"0,1,2,3"
roberta_bs32_full,de,small,Seen,38.39384491943582,16.670059491264666,4,31.493177645089233,63.59649122807018,"0,1,2,3"
roberta_bs32_full,de,small,Unseen,30.081268239824006,12.905278066176221,4,23.290316321186772,66.45114942528735,"0,1,2,3"
roberta_bs32_full,en,large,Half-Seen,65.18558373279784,0.7989691644184884,3,52.05291449454165,87.25761772853186,"0,1,2"
roberta_bs32_full,en,large,Seen,73.70901230553885,0.6193746449284211,3,64.63609646932761,85.7699805068226,"0,1,2"
roberta_bs32_full,en,large,Unseen,52.36262926888363,1.1826905262803709,3,37.66538209403388,85.91954022988506,"0,1,2"
roberta_bs32_full,en,medium,Half-Seen,61.475852688847034,2.5537811411000435,3,47.148906170626766,89.10433979686057,"0,1,2"
roberta_bs32_full,en,medium,Seen,69.75528272405957,1.2481184806822738,3,58.19383972295296,87.5243664717349,"0,1,2"
roberta_bs32_full,en,medium,Unseen,49.33312210940244,1.7024287869267174,3,34.28697674608722,88.79310344827586,"0,1,2"
roberta_bs32_full,en,small,Half-Seen,47.834009858385336,0.877595891897901,3,33.40379581125171,84.30286241920591,"0,1,2"
roberta_bs32_full,en,small,Seen,56.69051782688363,1.3768519733002815,3,42.93239077471157,83.4307992202729,"0,1,2"
roberta_bs32_full,en,small,Unseen,42.074852264479155,1.7364610028472753,3,27.7631633911431,87.1647509578544,"0,1,2"
