model,language,size,test,f1_mean,f1_std,n_seeds,precision_mean,recall_mean,seeds
xlmr,de,large,Half-Seen,63.70086520174464,0.2561632580316212,3,49.31678916821977,89.93536472760849,"0,1,2"
xlmr,de,large,Seen,74.2533810704471,0.2513097504394241,3,62.88743696796437,90.64327485380117,"0,1,2"
xlmr,de,large,Unseen,51.345904335138016,1.1712874010934526,3,35.963302734107394,89.75095785440614,"0,1,2"
xlmr,de,medium,Half-Seen,60.382325974314575,2.413437101311989,3,46.66215536902172,85.78024007386888,"0,1,2"
xlmr,de,medium,Seen,68.73933742069538,0.9781661915410369,3,57.522235023643475,85.47758284600388,"0,1,2"
xlmr,de,medium,Unseen,50.2786212841259,1.7812573120191417,3,35.488741135236175,86.59003831417624,"0,1,2"
xlmr,de,small,Half-Seen,51.32184072002877,3.354367592878617,3,37.3939182993708,82.17913204062789,"0,1,2"
xlmr,de,small,Seen,57.56879300369687,2.8647416552553553,3,44.0712081707565,83.13840155945418,"0,1,2"
xlmr,de,small,Unseen,43.308968785457864,2.1451671200888223,3,29.15167185755421,84.48275862068965,"0,1,2"
xlmr,en,large,Half-Seen,61.94130095118229,1.2692141762604203,3,46.10643817355227,94.45983379501384,"0,1,2"
xlmr,en,large,Seen,72.86884312668506,0.946770036319942,3,60.235143539341436,92.30019493177387,"0,1,2"
xlmr,en,large,Unseen,49.0911206028696,1.6447835657089378,3,33.09657634659197,95.21072796934867,"0,1,2"
xlmr,en,medium,Half-Seen,62.74338700442346,1.7272469317587942,3,48.52317533046565,88.82733148661127,"0,1,2"
xlmr,en,medium,Seen,71.84594846503633,1.9931015781418213,3,61.23792497701688,87.03703703703705,"0,1,2"
xlmr,en,medium,Unseen,52.7860576941904,1.3451426450132824,3,37.23408676488905,90.80459770114942,"0,1,2"
xlmr,en,small,Half-Seen,51.62053357370752,4.4654446776569845,3,37.54317975328076,82.91782086795938,"0,1,2"
xlmr,en,small,Seen,57.82845541837643,3.7019100347590435,3,44.51616602567349,82.74853801169591,"0,1,2"
xlmr,en,small,Unseen,45.135136407628885,2.9699362208451587,3,30.94042218702774,83.9080459770115,"0,1,2"
