model,variant,seed,precision,recall,f1,n_pairs
roberta,de_de,0,43.62139917695473,88.08864265927978,58.34862385321101,4437
roberta,de_en,0,36.35077793493635,71.19113573407202,48.12734082397004,4437
roberta,en_de,0,35.085574572127136,79.50138504155125,48.68532654792197,4437
roberta,en_en,0,37.95180722891566,87.25761772853186,52.896725440806044,4437
roberta,random,0,37.62755102040816,81.7174515235457,51.52838427947598,4437
roberta,de_de,1,44.505494505494504,89.75069252077562,59.50413223140496,4437
roberta,de_en,1,40.05235602094241,84.7645429362881,54.400000000000006,4437
roberta,en_de,1,37.65586034912718,83.65650969529086,51.93465176268271,4437
roberta,en_en,1,41.6988416988417,89.75069252077562,56.94200351493849,4437
roberta,random,1,40.71146245059288,85.59556786703601,55.17857142857143,4437
roberta,de_de,2,40.02418379685611,91.68975069252078,55.72390572390572,4437
roberta,de_en,2,35.45150501672241,88.08864265927978,50.5564387917329,4437
roberta,en_de,2,33.89261744966443,83.93351800554017,48.286852589641434,4437
roberta,en_en,2,33.880903490759756,91.41274238227147,49.43820224719101,4437
roberta,random,2,36.25,88.36565096952909,51.41015310233682,4437
