model,variant,seed,precision,recall,f1,n_pairs
xlmr,de_de,0,49.38461538461538,88.9196675900277,63.50148367952523,4437
xlmr,de_en,0,45.6,78.94736842105263,57.809330628803245,4437
xlmr,en_de,0,44.164037854889585,77.5623268698061,56.28140703517588,4437
xlmr,en_en,0,49.682539682539684,86.70360110803324,63.16851664984864,4437
xlmr,random,0,47.22662440570523,82.54847645429363,60.08064516129033,4437
xlmr,de_de,1,49.47209653092006,90.85872576177285,64.0625,4437
xlmr,de_en,1,44.62934947049924,81.7174515235457,57.72994129158513,4437
xlmr,en_de,1,44.342507645259936,80.33240997229917,57.14285714285714,4437
xlmr,en_en,1,50.66445182724253,84.48753462603878,63.34371754932503,4437
xlmr,random,1,46.36785162287481,83.10249307479224,59.523809523809526,4437
xlmr,de_de,2,49.09365558912387,90.02770083102493,63.5386119257087,4437
xlmr,de_en,2,45.110410094637224,79.22437673130193,57.48743718592964,4437
xlmr,en_de,2,44.5839874411303,78.67036011080333,56.91382765531062,4437
xlmr,en_en,2,50.24154589371981,86.42659279778393,63.543788187372705,4437
xlmr,random,2,46.04651162790698,82.27146814404432,59.04572564612326,4437
